"project_name","applicant_name","address_number","address_number_high","street_direction","street_name","street_type","ward","community_area","tif_district","ordinance_approval_date","rda_approval_date","completion_date","property_type","square_footage","residential_units","affordable_residential_units","project_description","incentive_amount","total_project_cost","other_public_funding","jobs_created_aspirational","jobs_retained_aspirational","jobs_created_required","jobs_retained_required","mbe_requirement_met","mbe_participation","wbe_requirement_met","wbe_participation","location"
"IMI - Portage Park","Portage Park Capital, LLC","3611","3657","N","Central","Ave","36","Portage Park","Belmont/Central","2020-05-20T00:00:00.000",,,"General Commercial","122430","0","0","Development of vacant land into a self-storage facility with retail.","3300000.00","14156082.00","0.00","22","0","0","0",,,,,"POINT (-87.76668022099994 41.94611640900007)"
"BUILD Expansion","B.U.I.L.D. Inc.","5100","5112","W","Harrison","Ave","29","Austin","Harrison/Kedzie","2022-05-23T00:00:00.000","2022-06-30T00:00:00.000",,"Institutional","49800","0","0","Renovation of 10,800 SF structure plus addition of 39,000 SF to house community center, BUILD offices, recreation space, classrooms and other features.","2500000.00","21007733.00","5000000.00","70","90","0","0",,,,,"POINT (-87.75362501299998 41.87325501000004)"
"XS Tennis Village","XS Tennis Village LLC","5256",,"S","State","St","3","Washington Park","47th/State","2014-12-10T00:00:00.000","2015-07-23T00:00:00.000",,"General commercial","116363","0","0","Building a 116,000 SF indoor tennis and sports facility; running a tennis program for CPS students.","2943793.00","12108250.00","0.00","50","0",,,,,,,"POINT (-87.62588338899997 41.798747293000076)"
"Morton Salt TIF Loan/ Morton Salt TIF-Funded Infrastructure","1357 Property Owner, LLC","1357",,"N","Elston","Ave","27","West Town","North Branch South","2022-03-23T00:00:00.000","2022-03-23T00:00:00.000",,"Public Infrastructure",,"0","0","The Developer is proposing to complete significant infrastructure improvements to address long-standing transportation issues in the area.  The improvements will ultimately increase local mobility, provide greater access to the region,and facilitate access to the Morton Salt Complex development,which is anticipated to contain approximately 97,000square feet.","2547600.00","2547600.00","0.00","200",,,,,,,,"POINT (-87.65914000899994 41.906307997000056)"
"Auburn Gresham Healthy Lifestyles Hub","Greater Auburn Gresham Development Corporation","839","845","W","79th","St","17","Auburn Gresham","79th Street","2020-12-16T00:00:00.000","2021-03-04T00:00:00.000",,"Mixed-Use (Retail/Com.)","50705","0","0","Renovation of the four-story building at 839-845 W 79th St into an approximately 50,705 square foot multi-tenant office containing health and wellness services, community development services and workforce development.  GAGDC will use approximately 10,537 sf of space for its offices and sub-lease the remaining of the Project to tenants including UI Health and Broadway Pharmacy.","2100000.00","15906344.00","4000000.00","65",,,,,,,,"POINT (-87.64573399299996 41.75037899100005)"
"Ramova Theater","Our Revival Chicago, LLC","3506","3518","S","Halsted","St","11","Bridgeport","35th/Halsted","2021-05-26T00:00:00.000","2021-09-03T00:00:00.000",,"General Commercial","38761","0","0","Redevelopment of the Ramova Theater into a theater, brewery, and restaurant","6640000.00","28298689.00","0.00","80","0","0","0",,,,,"POINT (-87.64638803299994 41.83042700500005)"
"Broad Shoulders Brewery","BSB Holdings LLC and Broad Shoulders LLC","2337",,"S","Michigan","Ave","3","Near South Side","24th/Michigan","2013-02-13T00:00:00.000","2013-07-18T00:00:00.000","2015-05-22T00:00:00.000","Mixed-use: retail and commercial","8846","0","0","Located in the Near South Side community, Broad Shoulders Brewery is rehabilitating a three story building into a 5,130 square foot micro-brewery/tasting room and 3,716 square foot office space.  Work includes interior improvements and historically sensitive exterior restoration.","628000.00","3140000.00","0.00","4","0",,,,,,,"POINT (-87.62329597399997 41.84996601700004)"
"CNI - Gotham Greens","Chicago Neighborhoods Initiative Inc.","10701",,"S","Doty","Ave","10","South Deering","North Pullman","2018-05-23T00:00:00.000","2018-06-13T00:00:00.000",,"General commercial","105000","0","0","Site prep of 6.2 acres so a 105,000 SF greenhouse and office space can be built.","3355000.00","12550000.00","0.00",,,"60","0",,,,,"POINT (-87.59257882299994 41.70051980200003)"
"Hillshire Brands","Hillshire Brands Company","400",,"S","Jefferson","St","25","Near West Side","Canal/Congress","2012-09-12T00:00:00.000","2013-02-01T00:00:00.000","2014-01-21T00:00:00.000","Office","221089","0","0","Rehabilitation of office space for Hillshire Brands' corporate headquarters.","6500000.00","36642963.00","0.00",,,"0","500","true",,"true",,"POINT (-87.64311003899996 41.876448012000026)"
"Quad Communities  Arts and Recreation Center","Quad Communities Arts Recreation and Health Center LLC","3520",,"S","Cottage Grove","Ave","4","Oakland","Bronzeville","2014-11-05T00:00:00.000","2015-02-11T00:00:00.000",,"Institutional","30000","0","0","Development of a multi-use community recreation center.","4300000.00","17651566.00","0.00","12","0",,,"true","0.313","true","0.051","POINT (-87.61032431399997 41.830436001000066)"
