"id","tif_district","project_name","address","developer","project_description","cdc_date","coc_date","approved_amount","total_project_cost","tif_subsidy_percentage","affordable_units","ward","community_area","x_coordinate","y_coordinate","latitude","longitude","location"
"16921","Lawrence/Kedzie","IGA with CPS Von Steuben HS Fire Alarm","5039 N Kimball Av","Chicago Public Schools","Intergovernmental Agreement in order to provide Tax Increment Financing funds from the �Lawrence/Kedzie� TIF District to reimburse the �Chicago Board of Education� for improvements at �Friedrich W Von Steuben Metropolitan Science High School�. 
��Project includes providing replacement of the existing fire alarm system at main building. The total estimated cost of the Project is $2,500,000.�","2023-11-01T00:00:00.000",,"2500000","2500000","100",,"39","North Park","1152840.521654832","1933431.315006983","41.9731925972","-87.713349689","
,  
(41.973192597196245, -87.71334968898196)"
"1552","Central West","Women's Treatment Center","140 N Ashland Av","The Women's Treatment Center","Located in the Near West Side, the project includes the rehabilitation of a 105,000 square foot building that serves as a residential treatment center for women who are pregnant and/or have young children and are suffering from substance abuse.  The improvements include fa�ade and masonry restoration, elevator upgrades, lighting upgrades, HVAC repairs, roof replacement, and lobby improvements.","2008-07-09T00:00:00.000","2011-04-06T00:00:00.000","1000000","3366459","29.7",,"27","Near West Side","1165683.9969951077","1901211.2656058948","41.884514197","-87.6670420942","
,  
(41.88451419700416, -87.66704209415728)"
"12962","71st & Stony Island","Jeffery Plaza","2101 E 71st St","Shop & Save Market","Located in South Shore, the project will renovate and occupy a grocery store space left vacant since the departure of Dominicks at the end of 2013.  The anchor tenant will be Shop and Save Market.","2018-10-31T00:00:00.000","2020-05-11T00:00:00.000","10000000","24965615","40.06",,"5","South Shore","1191459.6594881734","1858232.4496460606","41.7659900011","-87.5737873367","
,  
(41.765990001140594, -87.57378733665412)"
"1540","119th and Halsted","NIF - 119th Halsted",,,,"2006-03-29T00:00:00.000",,"1000000","3000000","33.33",,"34",,,,,,
"1785","Kinzie Industrial Conservation Area","IGA - CPD - Park 1015 - Smith - II - Ballfields","2526 W Grand Av","Chicago Park District","An intergovernmental agreement between the City of Chicago and the Chicago Park District","2010-12-08T00:00:00.000",,"924000","1185000","77.97",,"36","West Town","1159413.8917909723","1903816.540084767","41.8917945817","-87.6899950358","
,  
(41.89179458165182, -87.68999503581752)"
"15726","Belmont/Central","Hanson Park ES IGA with CPS Roof/Windows/Masonry June 2022","5411 E Fullerton Av","CPS","IGA with CPS for improvements to the Roof/Windows/Masonry for Hanson Park ES.","2022-07-20T00:00:00.000",,"1660000","1660000","100",,"36","Belmont Cragin","1139861.1583605479","1915387.9490959013","41.9239277052","-87.7615209447","
,  
(41.92392770522664, -87.76152094466592)"
"1614","Western/Ogden","IGA - CBE - Orozco - MS","1940 W 18th St","Chicago Public Schools","An intergovernmental agreement between the City of Chicago and the Chicago Board of Education.","2009-05-13T00:00:00.000",,"250000","481148","51.96",,"25","Lower West Side","1163539.2735337443","1891453.1467458955","41.8577824787","-87.6751925303","
,  
(41.85778247870229, -87.67519253027801)"
"12295","Western Avenue North","IGA-CBE-Chappell ADA Phase III","2135 W Foster Av","Chicago Public Schools","Chappell Elementary School is located in the Lincoln Square Community Area.  Rehabilitation to the school includes a new elevator and lift; replacement of all classroom doors; upgrade bathrooms and the creation of unisex toilets; creation of ADA student stations in classrooms; system upgrades to plumbing, the fire alarm system and security system and improve the lighting in science classrooms.","2017-06-28T00:00:00.000",,"760137","760137","100",,"40","Lincoln Square","1161016.9016857012","1934466.5448411042","41.975867003","-87.6832543782","
,  
(41.97586700298142, -87.68325437820378)"
"15827","Englewood Neighborhood","E. G. Woode","1022 W 63rd St","E.G. Woode, L3C","Rehab of a 10,550 sq ft vacant two-story building into three retail spaces on the ground floor and two offices on the second floor. The retail spaces will be leased to food services providers.  Currently, but subject to change, restaurants include Ellie�s Urban Grill (fast-casual dining), Pass the Peas (casual soul food), and Englewood Kitchen (co-sharing kitchen incubator).","2024-03-20T00:00:00.000",,"5000000","7019683","71.23",,"16","Englewood","1170434.4339692248","1863079.1857427335","41.7797736738","-87.6507106537","
,  
(41.779773673777996, -87.650710653711)"
"12033","Fullerton/Milwaukee","John Pennycuff Apts","2037 N Milwaukee Av",,"New construction of an 88 unit, 7-story multi-family building to be located at 2037 N. Milwaukee Ave.  Unit mix is 28 studios; 48 1-BRs; 12 2-BRs.  47 units will be reserved for CHA (35 1-BRs and 12 2-BRs).  CHA units will be for households earning up to 50% AMI.  The remaining 41 units will be for households earning up to 60% AMI.","2016-12-14T00:00:00.000",,"3920000","23705000","16.54","88","1","Logan Square","1159435.9717320395","1913489.9058778116","41.9183386208","-87.6896473669","
,  
(41.9183386208112, -87.68964736687705)"
