community_area,community_area_number,property_type,property_name,address,zip_code,phone_number,management_company,units,x_coordinate,y_coordinate,latitude,longitude,location
Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,60608,312-850-4128,CHA,68,1167767.395,1892902.581,41.86166987,-87.65963108,"
,  
(41.8616698672629, -87.6596310829808)"
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.93,1852437.468,41.75059341,-87.65472675,"
,  
(41.7505934139213, -87.6547267546359)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1757 N. Drake Ave.,60647,773-276-5338,LUCHA,3,1152579.353,1911651.094,41.91343122,-87.71488792,"
,  
(41.9134312154579, -87.7148879186767)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1749-51 N. Drake Ave.,60647,773-276-5338,LUCHA,6,1152581.854,1911572.616,41.91321582,-87.71488081,"
,  
(41.9132158158413, -87.7148808096933)"
Rogers Park,1,Senior,Caroline Hedger Apts.,6400 N. Sheridan Road,60626,773-743-7273,The CHA,436,1167087.151,1942658.705,41.99821792,-87.66069526,"
,  
(41.99821792053241, -87.6606952555721)"
Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,60616,312-326-1455,Holsten Management Corp.,176,1175862.866,1890322.361,41.8544114,-87.62999188,"
,  
(41.8544114000898, -87.6299918763962)"
Logan Square,22,Multfamily,Tierra Linda Apts.,1858 N. Spaulding Ave.,60647,773-276-5338,LUCHA,3,1153800.449,1912395.375,41.91544934,-87.71038198,"
,  
(41.9154493391046, -87.7103819818634)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1414,1451 N. Washtenaw Ave.",60622,773-276-5338,LUCHA,23,1158113.714,1909378.978,41.90708504,-87.69461792,"
,  
(41.9070850396306, -87.6946179241723)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1649-51 N. Drake Ave.,60647,773-276-5338,LUCHA,6,1152601.045,1910933.782,41.91146242,-87.71482723,"
,  
(41.9114624187205, -87.7148272291204)"
Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,60613,866-227-0438,Holsten Real Estate Dev. Corp.,13,1168438.959,1929421.65,41.96186585,-87.65610743,"
,  
(41.9618658532981, -87.656107428372)"
North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,60613,312-337-5339,Holsten Management Corp.,170,1151024.342,1899855.056,41.88109233,-87.72091009,"
,  
(41.8810923305496, -87.7209100899284)"
Near South Side,33,Multifamily,Hilliard Homes Phase I,2030 S. State St.,60616,312-225-7610,Holsten Real Estate Dev. Corp.,170,1176604.642,1890373.503,41.85453503,-87.62726774,"
,  
(41.8545350329649, -87.6272677388027)"
Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,60616,312-326-1466,Holsten Management Corp.,151,1176346.441,1889816.861,41.85301339,-87.62823221,"
,  
(41.8530133902049, -87.6282322110359)"
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.678,1899627.529,41.88041381,-87.71084273,"
,  
(41.8804138114539, -87.7108427297598)"
Logan Square,22,Multifamily,Tierra Linda Apts.,3572 W. Palmer St.,60647,773-276-5338,LUCHA,3,1152116.497,1914427.113,41.921058,-87.71651501,"
,  
(41.9210580042957, -87.7165150148412)"
Near North Side,8,Multifamily,Parkside-I Rental,545 W. Division St.,60610,312-944-8500,Holsten Management Corp.,116,1172154.289,1908220.998,41.90360901,-87.6430754,"
,  
(41.9036090085436, -87.6430753953974)"
