school_id,short_name,long_name,primary_category,address,zip,school_latitude,school_longitude,student_count_total,student_count_low_income,student_count_black,student_count_hispanic,student_count_white,overall_rating,school_year,community_area
610163,STOCK,Frederick Stock Elementary School,ES,7507 W BIRCHWOOD AVE,60631,42.016892,-87.814195,232,37,1,39,175,Inability to Rate,School Year 2016-2017,EDISON PARK
610558,GOODE HS,Sarah E. Goode STEM Academy,HS,7651 S HOMAN AVE,60652,41.75375,-87.707345,900,788,459,420,7,Level 1+,School Year 2016-2017,ASHBURN
609750,SIMPSON HS,Simpson Academy HS for Young Women,HS,1321 S PAULINA ST,60608,41.864365,-87.668722,38,37,28,8,2,Level 2,School Year 2016-2017,NEAR WEST SIDE
610571,OMBUDSMAN - WEST HS,Ombudsman Chicago- West,HS,2401 W CONGRESS PKWY,60612,41.874673,-87.687842,341,320,187,148,4,Level 2,School Year 2016-2017,NEAR WEST SIDE
610123,PENN,William Penn Elementary School,ES,1616 S AVERS AVE,60623,41.858372,-87.722386,311,279,283,26,1,Level 1+,School Year 2016-2017,NORTH LAWNDALE
610227,WHITNEY,Eli Whitney Elementary School,ES,2815 S KOMENSKY AVE,60623,41.84008,-87.725546,981,884,2,963,8,Level 1+,School Year 2016-2017,SOUTH LAWNDALE
610056,MASON,Roswell B Mason Elementary School,ES,4217 W 18TH ST,60623,41.856864,-87.731672,385,334,367,12,5,Level 1+,School Year 2016-2017,NORTH LAWNDALE
609748,YORK HS,Consuella B York Alternative HS,HS,2700 S CALIFORNIA AVE,60608,41.842533,-87.695261,199,174,154,36,6,Inability to Rate,School Year 2016-2017,SOUTH LAWNDALE
610030,KOZMINSKI,Charles Kozminski Elementary Community Academy,ES,936 E 54TH ST,60615,41.798002,-87.602481,255,217,243,6,1,Level 2,School Year 2016-2017,HYDE PARK
610369,JACKSON M,Mahalia Jackson Elementary School,ES,917 W 88TH ST,60620,41.734125,-87.646767,349,309,342,4,0,Level 3,School Year 2016-2017,AUBURN GRESHAM
609828,BURR,Jonathan Burr Elementary School,ES,1621 W WABANSIA AVE,60622,41.912358,-87.668661,434,161,35,181,179,Level 1+,School Year 2016-2017,WEST TOWN
610563,BACK OF THE YARDS HS,Back of the Yards IB HS,HS,2111 W 47TH ST,60609,41.808413,-87.677541,1059,1021,33,952,15,Level 1+,School Year 2016-2017,NEW CITY
610112,PARKER,Francis W Parker Elementary Community Academy,ES,6800 S STEWART AVE,60621,41.77078,-87.634086,490,433,480,9,0,Level 2,School Year 2016-2017,ENGLEWOOD
400105,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville,HS,521 E 35TH ST,60616,41.831118,-87.613629,322,262,314,4,0,Level 1,School Year 2016-2017,DOUGLAS
609951,ARIEL,Ariel Elementary Community Academy,ES,1119 E 46TH ST,60653,41.811173,-87.597503,527,406,514,6,1,Level 2+,School Year 2016-2017,KENWOOD
609869,LANGFORD,Anna R. Langford Community Academy,ES,6010 S THROOP ST,60636,41.784681,-87.657169,262,242,251,10,0,Level 2,School Year 2016-2017,WEST ENGLEWOOD
610021,CASALS,Pablo Casals Elementary School,ES,3501 W POTOMAC AVE,60651,41.904503,-87.714234,433,377,199,230,2,Level 1+,School Year 2016-2017,HUMBOLDT PARK
609930,FUNSTON,Frederick Funston Elementary School,ES,2010 N CENTRAL PARK AVE,60647,41.917617,-87.716892,459,400,51,396,11,Level 2+,School Year 2016-2017,LOGAN SQUARE
610520,LASALLE II,LaSalle II Magnet Elementary School,ES,1148 N HONORE ST,60622,41.902914,-87.673696,588,207,129,235,173,Level 1+,School Year 2016-2017,WEST TOWN
610221,WEBSTER,Daniel Webster Elementary School,ES,4055 W ARTHINGTON ST,60624,41.869916,-87.727524,299,229,296,2,0,Level 1,School Year 2016-2017,WEST GARFIELD PARK
