school_name,street_address,city,state,primary_category,closure_status,latitude,longitude,zip,community_area,matched_address
Altgeld Elementary School,1340 W 71st St,Chicago,IL,ES,closed,41.765053,-87.657839,60636,WEST ENGLEWOOD,"1340 W 71ST ST, CHICAGO, IL, 60636"
Armstrong Elementary Math and Science,5345 W Congress Pkwy,Chicago,IL,ES,closed,41.873843,-87.758414,60644,AUSTIN,"5345 W CONGRESS PKWY, CHICAGO, IL, 60644"
Attucks Elementary School,5055 S State St,Chicago,IL,ES,closed,41.802801,-87.625832,60609,GRAND BOULEVARD,"5055 S STATE ST, CHICAGO, IL, 60609"
Banneker Elementary School,6656 S Normal Blvd,Chicago,IL,ES,closed,41.773895,-87.636915,60621,ENGLEWOOD,"6656 S NORMAL BLVD, CHICAGO, IL, 60621"
Bethune Elementary School,3030 W Arthington St,Chicago,IL,ES,closed,41.870145,-87.701679,60612,EAST GARFIELD PARK,"3030 W ARTHINGTON ST, CHICAGO, IL, 60612"
Bontemps Elementary School,1241 W 58th St,Chicago,IL,ES,closed,41.788620,-87.656813,60636,WEST ENGLEWOOD,"1241 W 58TH ST, CHICAGO, IL, 60636"
Buckingham Special Education Center,9207 S Phillips Ave,Chicago,IL,ES,closed,41.727947,-87.564468,60617,CALUMET HEIGHTS,"9207 S PHILLIPS AVE, CHICAGO, IL, 60617"
Calhoun North Elementary School,2833 W Adams St,Chicago,IL,ES,closed,41.878276,-87.697420,60612,EAST GARFIELD PARK,"2833 W ADAMS ST, CHICAGO, IL, 60612"
Canter Middle School,4959 S Blackstone Ave,Chicago,IL,MS,closed,41.805008,-87.590477,60615,KENWOOD,"4959 S BLACKSTONE AVE, CHICAGO, IL, 60615"
Delano Elementary School,3937 W Wilcox St,Chicago,IL,ES,closed,41.878834,-87.723858,60624,WEST GARFIELD PARK,"3937 W WILCOX ST, CHICAGO, IL, 60624"
Dumas Technology Academy Elementary School,6650 S Ellis Ave,Chicago,IL,ES,closed,41.774081,-87.600997,60637,WOODLAWN,"6650 S ELLIS AVE, CHICAGO, IL, 60637"
