school_name,street_address,city,state,primary_category,closure_status
Altgeld Elementary School,1340 W 71st St,Chicago,IL,ES,closed
Armstrong Elementary Math and Science,5345 W Congress Pkwy,Chicago,IL,ES,closed
Attucks Elementary School,5055 S State St,Chicago,IL,ES,closed
Banneker Elementary School,6656 S Normal Blvd,Chicago,IL,ES,closed
Bethune Elementary School,3030 W Arthington St,Chicago,IL,ES,closed
Bontemps Elementary School,1241 W 58th St,Chicago,IL,ES,closed
Buckingham Special Education Center,9207 S Phillips Ave,Chicago,IL,ES,closed
Calhoun North Elementary School,2833 W Adams St,Chicago,IL,ES,closed
Canter Middle School,4959 S Blackstone Ave,Chicago,IL,MS,closed
Delano Elementary School,3937 W Wilcox St,Chicago,IL,ES,closed
Dumas Technology Academy Elementary School,6650 S Ellis Ave,Chicago,IL,ES,closed
Roque De Duprey Elementary School,2620 W Hirsch St,Chicago,IL,ES,closed
Emmet Elementary School,5500 W Madison St,Chicago,IL,ES,closed
Ericson Elementary Scholastic Academy,3600 W 5th Ave,Chicago,IL,ES,closed
Fermi Elementary School,1415 E 70th St,Chicago,IL,ES,closed
Garfield Park Prep Academy Elementary School,3250 W Monroe St,Chicago,IL,ES,closed
Garvey M Elementary School,10309 S Morgan St,Chicago,IL,ES,closed
Goldblatt Elementary School,4257 W Adams St,Chicago,IL,ES,closed
Goodlow Elementary Magnet School,2040 W 62nd St,Chicago,IL,ES,closed
Henson Elementary School,1329 S Avers Ave,Chicago,IL,ES,closed
Herbert Elementary School,2131 W Monroe St,Chicago,IL,ES,closed
Key Elementary School,517 N Parkside Ave,Chicago,IL,ES,closed
King Elementary School,740 S Campbell Ave,Chicago,IL,ES,closed
Kohn Elementary School,10414 S State St,Chicago,IL,ES,closed
Lafayette Elementary School,2714 W Augusta Blvd,Chicago,IL,ES,closed
Lawrence Elementary School,9928 S Crandon Ave,Chicago,IL,ES,closed
Manierre Elementary School,1420 N Hudson Ave,Chicago,IL,ES,closed
Mahalia Jackson Elementary School,917 W 88th St,Chicago,IL,ES,closed
Marconi Elementary Community Academy,230 N Kolmar Ave,Chicago,IL,ES,closed
May Elementary Community Academy,512 S Lavergne Ave,Chicago,IL,ES,closed
Mayo Elementary School,249 E 37th St,Chicago,IL,ES,closed
Morgan Elementary School,8407 S Kerfoot Ave,Chicago,IL,ES,closed
Near North Elementary School,739 N Ada St,Chicago,IL,ES,closed
Overton Elementary School,221 E 49th St,Chicago,IL,ES,closed
Owens Elementary Community Academy,12450 S State St,Chicago,IL,ES,closed
Paderewski Elementary Learning Academy,2221 S Lawndale Ave,Chicago,IL,ES,closed
Parkman Elementary School,245 W 51st St,Chicago,IL,ES,closed
Peabody Elementary School,1444 W Augusta Blvd,Chicago,IL,ES,closed
Pershing West Middle School,3200 S Calumet Ave,Chicago,IL,MS,closed
Pope Elementary School,1852 S Albany Ave,Chicago,IL,ES,closed
Ross Elementary School,6059 S Wabash Ave,Chicago,IL,ES,closed
Ryerson Elementary School,646 N Lawndale Ave,Chicago,IL,ES,closed
Sexton Elementary School,6020 S Langley Ave,Chicago,IL,ES,closed
Songhai Elementary Learning Institute,11725 S Perry Ave,Chicago,IL,ES,closed
Stewart Elementary School,4525 N Kenmore Ave,Chicago,IL,ES,closed
Stockton Elementary School,4420 N Beacon St,Chicago,IL,ES,closed
Trumbull Elementary School,5200 N Ashland Ave,Chicago,IL,ES,closed
Von Humboldt Elementary School,2620 W Hirsch St,Chicago,IL,ES,closed
West Pullman Elementary School,11941 S Parnell Ave,Chicago,IL,ES,closed
Williams Middle Prep Academy,2710 S Dearborn St,Chicago,IL,MS,closed
Williams Multiplex Elementary School,2710 S Dearborn St,Chicago,IL,ES,closed
Woods Elementary Math & Science Academy,6206 S Racine Ave,Chicago,IL,ES,closed
Yale Elementary School,7025 S Princeton Ave,Chicago,IL,ES,closed
