start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
13022,Streeter Dr & Grand Ave,22401,4856,17545,16392,6009,0,0,41.892279,-87.612055,22401,54239232.1,22349
13300,DuSable Lake Shore Dr & Monroe St,13894,2878,11016,10376,3518,0,0,41.880977,-87.616755,13894,29130510.5,13848
13042,Michigan Ave & Oak St,13223,4814,8409,9085,4138,0,0,41.900977,-87.623780,13223,35104404.1,13199
KA1503000043,Kingsbury St & Kinzie St,13004,9688,3316,7863,5141,0,0,41.889195,-87.638513,13004,20816322.9,12996
LF-005,DuSable Lake Shore Dr & North Blvd,12883,5505,7378,9265,3618,0,0,41.911725,-87.626805,12883,34140950.3,12871
WL-012,Clinton St & Washington Blvd,11609,9480,2129,6039,5570,0,0,41.883429,-87.641218,11609,23420138.6,11599
TA1307000039,Clark St & Elm St,11577,8119,3458,7127,4450,0,0,41.902958,-87.631359,11577,23221596.8,11569
TA1305000032,Clinton St & Madison St,11197,8638,2559,5944,5253,0,0,41.882604,-87.641218,11197,20509352.3,11188
13008,Millennium Park,11178,3716,7462,7749,3429,0,0,41.881049,-87.624087,11178,23868236.6,11129
TA1308000050,Wells St & Concord Ln,10529,6751,3778,5805,4724,0,0,41.912119,-87.634718,10529,23553787.8,10524
TA1308000001,Theater on the Lake,9771,4171,5600,7175,2596,0,0,41.926272,-87.630855,9771,28500334.7,9746
KA1503000071,University Ave & 57th St,9762,7458,2304,7154,2608,0,0,41.791479,-87.599885,9762,10598310.5,9755
KA1504000135,Wells St & Elm St,9676,6612,3064,5381,4295,0,0,41.903193,-87.634397,9676,17632376.8,9668
21544,State St & Chicago Ave,9254,6582,2672,5427,3827,0,0,41.896623,-87.628614,9254,15774442.9,9247
13045,Dearborn St & Erie St,9196,6458,2738,5843,3353,0,0,41.894029,-87.629331,9196,15739542.9,9190
15544,Shedd Aquarium,8990,1596,7394,6651,2339,0,0,41.867232,-87.615394,8990,20883422.7,8963
KA1503000064,Dusable Harbor,8922,2214,6708,6320,2602,0,0,41.886975,-87.612817,8922,20148960.0,8897
638,Clinton St & Jackson Blvd,8900,6893,2007,4706,4194,0,0,41.878211,-87.640969,8900,17613283.1,8893
TA1307000117,Wabash Ave & Grand Ave,8830,5197,3633,5337,3493,0,0,41.891460,-87.626767,8830,16088679.8,8812
KA1503000014,Ellis Ave & 60th St,8712,6497,2215,6709,2003,0,0,41.785119,-87.601097,8712,8677849.5,8706
13341,Canal St & Madison St,8589,6317,2272,4539,4050,0,0,41.882338,-87.639759,8589,17563138.3,8578
13001,Michigan Ave & Washington St,8366,4695,3671,5445,2921,0,0,41.883980,-87.624666,8366,16427475.8,8339
13179,Clark St & Lincoln Ave,8201,4661,3540,5210,2991,0,0,41.915699,-87.634603,8201,19696676.8,8193
13146,Clark St & Armitage Ave,8157,4846,3311,5084,3073,0,0,41.918295,-87.636299,8157,19584027.9,8147
13263,Columbus Dr & Randolph St,8139,4809,3330,4830,3309,0,0,41.884708,-87.619578,8139,17260393.1,8127
TA1306000012,Wells St & Huron St,7998,5342,2656,4677,3321,0,0,41.894724,-87.634396,7998,13466572.2,7987
TA1307000151,Wells St & Hubbard St,7956,5444,2512,4731,3225,0,0,41.889961,-87.634297,7956,14406329.6,7943
13430,LaSalle St & Illinois St,7933,4762,3171,4753,3180,0,0,41.890774,-87.631713,7933,15754375.6,7921
13137,Broadway & Barry Ave,7890,5493,2397,4433,3457,0,0,41.937601,-87.644101,7890,17915445.8,7886
TA1306000003,Desplaines St & Kinzie St,7867,5460,2407,4398,3469,0,0,41.888685,-87.644454,7867,14307799.5,7860
SL-005,Indiana Ave & Roosevelt Rd,7866,4409,3457,5501,2365,0,0,41.867899,-87.623041,7866,16250177.8,7849
TA1307000134,Wilton Ave & Belmont Ave,7770,5240,2530,4239,3531,0,0,41.940209,-87.652948,7770,16324984.5,7764
13011,Canal St & Adams St,7643,5925,1718,3734,3909,0,0,41.879280,-87.639954,7643,17455367.6,7633
TA1306000029,McClurg Ct & Ohio St,7641,4520,3121,4900,2741,0,0,41.892587,-87.617320,7641,16607497.4,7629
TA1307000128,Dearborn Pkwy & Delaware Pl,7591,5136,2455,4439,3152,0,0,41.898952,-87.629954,7591,15277024.0,7579
TA1306000013,New St & Illinois St,7494,4021,3473,4730,2764,0,0,41.890825,-87.618629,7494,15745759.8,7476
TA1305000011,Michigan Ave & Lake St,7473,4399,3074,4779,2694,0,0,41.885999,-87.624487,7473,13509351.2,7454
TA1306000009,Larrabee St & Kingsbury St,7374,5883,1491,3954,3420,0,0,41.897735,-87.642944,7374,14301159.5,7369
KA1504000076,Ellis Ave & 55th St,7346,5574,1772,5567,1779,0,0,41.794300,-87.601446,7346,8134329.9,7338
TA1306000010,Daley Center Plaza,7283,5221,2062,4600,2683,0,0,41.884211,-87.629614,7283,14979249.2,7276
TA1305000002,Wabash Ave & Roosevelt Rd,7251,4694,2557,4489,2762,0,0,41.867215,-87.625981,7251,12850651.8,7242
23003,Halsted St & Fulton St,7065,4615,2450,3541,3524,0,0,41.886847,-87.648091,7065,16101489.6,7064
TA1306000016,Sheffield Ave & Fullerton Ave,6932,4835,2097,4117,2815,0,0,41.925542,-87.653700,6932,12769272.6,6925
TA1305000022,Orleans St & Merchandise Mart Plaza,6878,4668,2210,3498,3380,0,0,41.888177,-87.636514,6878,12364598.4,6871
13265,Kingsbury St & Erie St,6853,5181,1672,4209,2644,0,0,41.894080,-87.641733,6853,10842218.9,6848
13061,Ashland Ave & Division St,6824,4730,2094,3544,3280,0,0,41.903412,-87.667776,6824,16094694.3,6816
TA1309000039,DuSable Lake Shore Dr & Diversey Pkwy,6818,3982,2836,4274,2544,0,0,41.932573,-87.636439,6818,18699186.4,6812
13021,Clinton St & Lake St,6818,5167,1651,3730,3088,0,0,41.885617,-87.641862,6818,11717272.0,6816
623,Michigan Ave & 8th St,6805,2265,4540,4966,1839,0,0,41.872740,-87.624009,6805,12161212.5,6772
