activity_year,group,first_lien_orig_with_spread,higher_priced
2018,Asian,5810,339
2018,Black,8455,2773
2018,Latino/Hispanic,11920,2737
2018,Other / Joint,1556,101
2018,Race not available,6845,469
2018,White (non-Hispanic),41179,1996
2019,Asian,8030,347
2019,Black,9643,2745
2019,Latino/Hispanic,14629,2829
2019,Other / Joint,2023,123
2019,Race not available,10308,627
2019,White (non-Hispanic),54182,2391
2020,Asian,14648,179
2020,Black,13750,1805
2020,Latino/Hispanic,21269,1549
2020,Other / Joint,4081,68
2020,Race not available,18582,380
2020,White (non-Hispanic),99724,1283
2021,Asian,15595,211
2021,Black,18286,2428
2021,Latino/Hispanic,25569,1912
2021,Other / Joint,3914,78
2021,Race not available,21125,751
2021,White (non-Hispanic),91877,1284
2022,Asian,5983,227
2022,Black,11371,2225
2022,Latino/Hispanic,13668,1999
2022,Other / Joint,1873,86
2022,Race not available,9439,670
2022,White (non-Hispanic),35112,1220
2023,Asian,3958,156
2023,Black,6897,780
2023,Latino/Hispanic,9395,1133
2023,Other / Joint,1158,68
2023,Race not available,5529,357
2023,White (non-Hispanic),19905,800
