activity_year,group,income_band,applications,denials
2018,Asian,$100k-$150k,2245,445
2018,Asian,$150k+,2686,489
2018,Asian,$50k-$75k,1960,505
2018,Asian,$75k-$100k,1660,401
2018,Asian,<$50k,1446,635
2018,Asian,unknown,208,65
2018,Black,$100k-$150k,2318,878
2018,Black,$150k+,1175,403
2018,Black,$50k-$75k,5205,1964
2018,Black,$75k-$100k,3301,1180
2018,Black,<$50k,5139,2646
2018,Black,unknown,566,228
2018,Latino/Hispanic,$100k-$150k,2407,748
2018,Latino/Hispanic,$150k+,1194,364
2018,Latino/Hispanic,$50k-$75k,7078,2228
2018,Latino/Hispanic,$75k-$100k,3959,1181
2018,Latino/Hispanic,<$50k,7186,3051
2018,Latino/Hispanic,unknown,510,196
2018,Other / Joint,$100k-$150k,555,98
2018,Other / Joint,$150k+,1010,146
2018,Other / Joint,$50k-$75k,312,103
2018,Other / Joint,$75k-$100k,357,76
2018,Other / Joint,<$50k,208,106
2018,Other / Joint,unknown,55,17
2018,Race not available,$100k-$150k,2680,705
2018,Race not available,$150k+,3689,676
2018,Race not available,$50k-$75k,2525,1016
2018,Race not available,$75k-$100k,2253,796
2018,Race not available,<$50k,2099,1181
2018,Race not available,unknown,4721,556
2018,White (non-Hispanic),$100k-$150k,14307,2383
2018,White (non-Hispanic),$150k+,19823,2839
2018,White (non-Hispanic),$50k-$75k,12163,2712
2018,White (non-Hispanic),$75k-$100k,10989,2168
2018,White (non-Hispanic),<$50k,9014,3388
2018,White (non-Hispanic),unknown,1450,289
2019,Asian,$100k-$150k,2784,443
2019,Asian,$150k+,3480,467
2019,Asian,$50k-$75k,2074,445
2019,Asian,$75k-$100k,1959,376
2019,Asian,<$50k,1467,584
2019,Asian,unknown,302,57
2019,Black,$100k-$150k,2638,886
2019,Black,$150k+,1376,377
2019,Black,$50k-$75k,5292,1807
2019,Black,$75k-$100k,3518,1174
2019,Black,<$50k,4914,2407
2019,Black,unknown,1215,333
2019,Latino/Hispanic,$100k-$150k,3036,822
2019,Latino/Hispanic,$150k+,1545,376
2019,Latino/Hispanic,$50k-$75k,7758,2021
2019,Latino/Hispanic,$75k-$100k,4647,1202
2019,Latino/Hispanic,<$50k,7167,2733
2019,Latino/Hispanic,unknown,925,226
2019,Other / Joint,$100k-$150k,649,127
2019,Other / Joint,$150k+,1340,149
2019,Other / Joint,$50k-$75k,342,117
2019,Other / Joint,$75k-$100k,317,78
2019,Other / Joint,<$50k,288,114
2019,Other / Joint,unknown,126,15
2019,Race not available,$100k-$150k,3377,756
2019,Race not available,$150k+,5212,799
2019,Race not available,$50k-$75k,2702,875
2019,Race not available,$75k-$100k,2625,756
2019,Race not available,<$50k,2115,1023
2019,Race not available,unknown,5523,695
2019,White (non-Hispanic),$100k-$150k,17024,2249
2019,White (non-Hispanic),$150k+,25778,2729
2019,White (non-Hispanic),$50k-$75k,12429,2344
2019,White (non-Hispanic),$75k-$100k,12446,1985
2019,White (non-Hispanic),<$50k,8351,3046
2019,White (non-Hispanic),unknown,2380,349
2020,Asian,$100k-$150k,5241,570
2020,Asian,$150k+,6311,653
2020,Asian,$50k-$75k,2930,553
2020,Asian,$75k-$100k,3170,446
2020,Asian,<$50k,1588,634
2020,Asian,unknown,542,103
2020,Black,$100k-$150k,3503,928
2020,Black,$150k+,2085,480
2020,Black,$50k-$75k,5898,1701
