lei,group,loan_amount_num,total_orig_dollars
549300U3721PJGQZYY68,Asian,1455105000.0,24084415000.0
549300U3721PJGQZYY68,Black,1320775000.0,24084415000.0
549300U3721PJGQZYY68,Latino/Hispanic,1725220000.0,24084415000.0
549300U3721PJGQZYY68,Other / Joint,807460000.0,24084415000.0
549300U3721PJGQZYY68,Race not available,4409665000.0,24084415000.0
549300U3721PJGQZYY68,White (non-Hispanic),14366190000.0,24084415000.0
7H6GLXDRUGQFU57RNE97,Asian,1898200000.0,23646005000.0
7H6GLXDRUGQFU57RNE97,Black,702595000.0,23646005000.0
7H6GLXDRUGQFU57RNE97,Latino/Hispanic,1497215000.0,23646005000.0
7H6GLXDRUGQFU57RNE97,Other / Joint,666745000.0,23646005000.0
7H6GLXDRUGQFU57RNE97,Race not available,6797780000.0,23646005000.0
7H6GLXDRUGQFU57RNE97,White (non-Hispanic),12083470000.0,23646005000.0
2WHM8VNJH63UN14OL754,Asian,763335000.0,7956010000.0
2WHM8VNJH63UN14OL754,Black,294390000.0,7956010000.0
2WHM8VNJH63UN14OL754,Latino/Hispanic,478795000.0,7956010000.0
2WHM8VNJH63UN14OL754,Other / Joint,255335000.0,7956010000.0
2WHM8VNJH63UN14OL754,Race not available,991270000.0,7956010000.0
2WHM8VNJH63UN14OL754,White (non-Hispanic),5172885000.0,7956010000.0
KB1H1DSPRFMYMCUFXT09,Asian,718355000.0,7785530000.0
KB1H1DSPRFMYMCUFXT09,Black,262070000.0,7785530000.0
KB1H1DSPRFMYMCUFXT09,Latino/Hispanic,318275000.0,7785530000.0
KB1H1DSPRFMYMCUFXT09,Other / Joint,217405000.0,7785530000.0
KB1H1DSPRFMYMCUFXT09,Race not available,2414145000.0,7785530000.0
KB1H1DSPRFMYMCUFXT09,White (non-Hispanic),3855280000.0,7785530000.0
549300FGXN1K3HLB1R50,Asian,762050000.0,7447380000.0
549300FGXN1K3HLB1R50,Black,851665000.0,7447380000.0
549300FGXN1K3HLB1R50,Latino/Hispanic,657815000.0,7447380000.0
549300FGXN1K3HLB1R50,Other / Joint,140910000.0,7447380000.0
549300FGXN1K3HLB1R50,Race not available,2113110000.0,7447380000.0
549300FGXN1K3HLB1R50,White (non-Hispanic),2921830000.0,7447380000.0
549300HW662MN1WU8550,Asian,1034315000.0,7274230000.0
549300HW662MN1WU8550,Black,504955000.0,7274230000.0
549300HW662MN1WU8550,Latino/Hispanic,1165465000.0,7274230000.0
549300HW662MN1WU8550,Other / Joint,116310000.0,7274230000.0
549300HW662MN1WU8550,Race not available,445230000.0,7274230000.0
549300HW662MN1WU8550,White (non-Hispanic),4007955000.0,7274230000.0
549300AG64NHILB7ZP05,Asian,609225000.0,6880880000.0
549300AG64NHILB7ZP05,Black,1138100000.0,6880880000.0
549300AG64NHILB7ZP05,Latino/Hispanic,800715000.0,6880880000.0
549300AG64NHILB7ZP05,Other / Joint,139735000.0,6880880000.0
549300AG64NHILB7ZP05,Race not available,965415000.0,6880880000.0
549300AG64NHILB7ZP05,White (non-Hispanic),3227690000.0,6880880000.0
549300VZVN841I2ILS84,Asian,342190000.0,5764205000.0
549300VZVN841I2ILS84,Black,478920000.0,5764205000.0
549300VZVN841I2ILS84,Latino/Hispanic,574110000.0,5764205000.0
549300VZVN841I2ILS84,Other / Joint,196215000.0,5764205000.0
549300VZVN841I2ILS84,Race not available,461390000.0,5764205000.0
549300VZVN841I2ILS84,White (non-Hispanic),3711380000.0,5764205000.0
B4TYDEB6GKMZO031MB27,Asian,411930000.0,5608020000.0
B4TYDEB6GKMZO031MB27,Black,331600000.0,5608020000.0
B4TYDEB6GKMZO031MB27,Latino/Hispanic,411650000.0,5608020000.0
B4TYDEB6GKMZO031MB27,Other / Joint,132285000.0,5608020000.0
B4TYDEB6GKMZO031MB27,Race not available,1089420000.0,5608020000.0
B4TYDEB6GKMZO031MB27,White (non-Hispanic),3231135000.0,5608020000.0
6BYL5QZYBDK8S7L73M02,Asian,548880000.0,5513745000.0
6BYL5QZYBDK8S7L73M02,Black,279805000.0,5513745000.0
6BYL5QZYBDK8S7L73M02,Latino/Hispanic,353465000.0,5513745000.0
6BYL5QZYBDK8S7L73M02,Other / Joint,136280000.0,5513745000.0
6BYL5QZYBDK8S7L73M02,Race not available,958130000.0,5513745000.0
6BYL5QZYBDK8S7L73M02,White (non-Hispanic),3237185000.0,5513745000.0
C398JSK21YCXWM603F55,Asian,264945000.0,4654240000.0
C398JSK21YCXWM603F55,Black,429620000.0,4654240000.0
C398JSK21YCXWM603F55,Latino/Hispanic,541440000.0,4654240000.0
C398JSK21YCXWM603F55,Other / Joint,147645000.0,4654240000.0
C398JSK21YCXWM603F55,Race not available,462565000.0,4654240000.0
C398JSK21YCXWM603F55,White (non-Hispanic),2808025000.0,4654240000.0
5493001R92DY5DI1DI85,Asian,625910000.0,4461810000.0
5493001R92DY5DI1DI85,Black,107530000.0,4461810000.0
5493001R92DY5DI1DI85,Latino/Hispanic,177635000.0,4461810000.0
5493001R92DY5DI1DI85,Other / Joint,122250000.0,4461810000.0
5493001R92DY5DI1DI85,Race not available,259060000.0,4461810000.0
5493001R92DY5DI1DI85,White (non-Hispanic),3169425000.0,4461810000.0
ZF85QS7OXKPBG52R7N18,Asian,239055000.0,4280275000.0
ZF85QS7OXKPBG52R7N18,Black,161445000.0,4280275000.0
ZF85QS7OXKPBG52R7N18,Latino/Hispanic,258145000.0,4280275000.0
ZF85QS7OXKPBG52R7N18,Other / Joint,185260000.0,4280275000.0
ZF85QS7OXKPBG52R7N18,Race not available,626480000.0,4280275000.0
ZF85QS7OXKPBG52R7N18,White (non-Hispanic),2809890000.0,4280275000.0
E57ODZWZ7FF32TWEFA76,Asian,516955000.0,3900200000.0
E57ODZWZ7FF32TWEFA76,Black,150590000.0,3900200000.0
E57ODZWZ7FF32TWEFA76,Latino/Hispanic,146800000.0,3900200000.0
E57ODZWZ7FF32TWEFA76,Other / Joint,112890000.0,3900200000.0
E57ODZWZ7FF32TWEFA76,Race not available,1226345000.0,3900200000.0
E57ODZWZ7FF32TWEFA76,White (non-Hispanic),1746620000.0,3900200000.0
549300MGPZBLQDIL7538,Asian,271690000.0,3830095000.0
549300MGPZBLQDIL7538,Black,265715000.0,3830095000.0
549300MGPZBLQDIL7538,Latino/Hispanic,805875000.0,3830095000.0
549300MGPZBLQDIL7538,Other / Joint,86820000.0,3830095000.0
549300MGPZBLQDIL7538,Race not available,408945000.0,3830095000.0
549300MGPZBLQDIL7538,White (non-Hispanic),1991050000.0,3830095000.0
AD6GFRVSDT01YPT1CS68,Asian,135530000.0,3166455000.0
AD6GFRVSDT01YPT1CS68,Black,66155000.0,3166455000.0
AD6GFRVSDT01YPT1CS68,Latino/Hispanic,266990000.0,3166455000.0
AD6GFRVSDT01YPT1CS68,Other / Joint,36365000.0,3166455000.0
AD6GFRVSDT01YPT1CS68,Race not available,1432595000.0,3166455000.0
AD6GFRVSDT01YPT1CS68,White (non-Hispanic),1228820000.0,3166455000.0
QFROUN1UWUYU0DVIWD51,Asian,398345000.0,3053200000.0
QFROUN1UWUYU0DVIWD51,Black,135425000.0,3053200000.0
QFROUN1UWUYU0DVIWD51,Latino/Hispanic,244235000.0,3053200000.0
QFROUN1UWUYU0DVIWD51,Other / Joint,139510000.0,3053200000.0
QFROUN1UWUYU0DVIWD51,Race not available,202095000.0,3053200000.0
QFROUN1UWUYU0DVIWD51,White (non-Hispanic),1933590000.0,3053200000.0
549300J7XKT2BI5WX213,Asian,531990000.0,2783875000.0
549300J7XKT2BI5WX213,Black,208790000.0,2783875000.0
549300J7XKT2BI5WX213,Latino/Hispanic,728915000.0,2783875000.0
549300J7XKT2BI5WX213,Other / Joint,42095000.0,2783875000.0
549300J7XKT2BI5WX213,Race not available,320160000.0,2783875000.0
549300J7XKT2BI5WX213,White (non-Hispanic),951925000.0,2783875000.0
254900O723MCLR701H50,Asian,146515000.0,2623225000.0
254900O723MCLR701H50,Black,181265000.0,2623225000.0
254900O723MCLR701H50,Latino/Hispanic,944655000.0,2623225000.0
254900O723MCLR701H50,Other / Joint,47230000.0,2623225000.0
254900O723MCLR701H50,Race not available,424375000.0,2623225000.0
254900O723MCLR701H50,White (non-Hispanic),879185000.0,2623225000.0
549300BX448ALT10FI43,Asian,76410000.0,2615975000.0
549300BX448ALT10FI43,Black,367200000.0,2615975000.0
549300BX448ALT10FI43,Latino/Hispanic,708295000.0,2615975000.0
549300BX448ALT10FI43,Other / Joint,56920000.0,2615975000.0
549300BX448ALT10FI43,Race not available,253720000.0,2615975000.0
549300BX448ALT10FI43,White (non-Hispanic),1153430000.0,2615975000.0
549300BRJZYHYKT4BJ84,Asian,357410000.0,2598325000.0
549300BRJZYHYKT4BJ84,Black,139720000.0,2598325000.0
549300BRJZYHYKT4BJ84,Latino/Hispanic,432950000.0,2598325000.0
549300BRJZYHYKT4BJ84,Other / Joint,49910000.0,2598325000.0
549300BRJZYHYKT4BJ84,Race not available,127010000.0,2598325000.0
549300BRJZYHYKT4BJ84,White (non-Hispanic),1491325000.0,2598325000.0
3Y4U8VZURTYWI1W2K376,Asian,144185000.0,2524280000.0
3Y4U8VZURTYWI1W2K376,Black,85300000.0,2524280000.0
3Y4U8VZURTYWI1W2K376,Latino/Hispanic,185395000.0,2524280000.0
3Y4U8VZURTYWI1W2K376,Other / Joint,51950000.0,2524280000.0
3Y4U8VZURTYWI1W2K376,Race not available,600190000.0,2524280000.0
3Y4U8VZURTYWI1W2K376,White (non-Hispanic),1457260000.0,2524280000.0
549300AI4ZHB6MX23W09,Asian,147740000.0,2402600000.0
549300AI4ZHB6MX23W09,Black,63080000.0,2402600000.0
549300AI4ZHB6MX23W09,Latino/Hispanic,126220000.0,2402600000.0
549300AI4ZHB6MX23W09,Other / Joint,71715000.0,2402600000.0
549300AI4ZHB6MX23W09,Race not available,139125000.0,2402600000.0
549300AI4ZHB6MX23W09,White (non-Hispanic),1854720000.0,2402600000.0
KV8W1JTB8FZ821S5ED75,Asian,74135000.0,2294260000.0
KV8W1JTB8FZ821S5ED75,Black,46425000.0,2294260000.0
KV8W1JTB8FZ821S5ED75,Latino/Hispanic,120125000.0,2294260000.0
KV8W1JTB8FZ821S5ED75,Other / Joint,33225000.0,2294260000.0
KV8W1JTB8FZ821S5ED75,Race not available,879610000.0,2294260000.0
KV8W1JTB8FZ821S5ED75,White (non-Hispanic),1140740000.0,2294260000.0
549300SELI3XCH3UZW80,Asian,166720000.0,2279545000.0
549300SELI3XCH3UZW80,Black,141405000.0,2279545000.0
549300SELI3XCH3UZW80,Latino/Hispanic,371895000.0,2279545000.0
549300SELI3XCH3UZW80,Other / Joint,63355000.0,2279545000.0
549300SELI3XCH3UZW80,Race not available,56395000.0,2279545000.0
549300SELI3XCH3UZW80,White (non-Hispanic),1479775000.0,2279545000.0
