activity_year,group,applications,denials,originations,orig_dollars
2018,Asian,10205,2540,7447,1983085000.0
2018,Black,17704,7299,9886,1604890000.0
2018,Latino/Hispanic,22334,7768,14025,2534175000.0
2018,Other / Joint,2497,546,1897,609165000.0
2018,Race not available,17967,4930,12562,7617260000.0
2018,White (non-Hispanic),67746,13779,52385,14367855000.0
2019,Asian,12066,2372,9388,2759180000.0
2019,Black,18953,6984,11288,2045990000.0
2019,Latino/Hispanic,25078,7380,17107,3392665000.0
2019,Other / Joint,3062,600,2393,836065000.0
2019,Race not available,21554,4904,16117,9636855000.0
2019,White (non-Hispanic),78408,12702,64042,19918040000.0
2020,Asian,19782,2959,16228,4830270000.0
2020,Black,23029,6686,15204,3063250000.0
2020,Latino/Hispanic,31342,6878,23352,5054420000.0
2020,Other / Joint,5164,610,4412,1606590000.0
2020,Race not available,30896,6060,23679,10987845000.0
2020,White (non-Hispanic),126933,14203,109449,34455255000.0
2021,Asian,20697,2676,17539,5456865000.0
2021,Black,29784,8654,19904,4116750000.0
2021,Latino/Hispanic,36644,7549,28051,6280475000.0
2021,Other / Joint,5011,624,4287,1632895000.0
2021,Race not available,35893,7026,27672,13606080000.0
2021,White (non-Hispanic),115873,12509,100963,33063855000.0
2022,Asian,9322,1788,7277,2367225000.0
2022,Black,21420,7454,13233,2796935000.0
2022,Latino/Hispanic,22994,6314,16034,3632200000.0
2022,Other / Joint,2767,494,2206,879440000.0
2022,Race not available,21445,5333,15466,10107210000.0
2022,White (non-Hispanic),53155,8644,43320,14593200000.0
2023,Asian,6834,1519,5102,1681600000.0
2023,Black,15557,6056,8953,1804595000.0
2023,Latino/Hispanic,18427,5611,12361,2687645000.0
2023,Other / Joint,1903,394,1476,569570000.0
2023,Race not available,16101,4182,11190,6935560000.0
2023,White (non-Hispanic),35114,6946,27207,8660375000.0
