activity_year,census_tract,group,applications,denials,originations,orig_dollars
2018,17031010100,Asian,4,3,1,95000.0
2018,17031010100,Black,8,0,8,1480000.0
2018,17031010100,Latino/Hispanic,3,1,2,440000.0
2018,17031010100,Other / Joint,6,2,4,620000.0
2018,17031010100,Race not available,126,4,122,47690000.0
2018,17031010100,White (non-Hispanic),42,8,33,6415000.0
2018,17031010201,Asian,7,1,6,830000.0
2018,17031010201,Black,20,9,11,2025000.0
2018,17031010201,Latino/Hispanic,12,3,9,1175000.0
2018,17031010201,Other / Joint,3,0,3,685000.0
2018,17031010201,Race not available,25,8,17,21125000.0
2018,17031010201,White (non-Hispanic),57,8,47,10055000.0
2018,17031010202,Asian,5,0,4,700000.0
2018,17031010202,Black,1,0,1,35000.0
2018,17031010202,Latino/Hispanic,3,1,2,360000.0
2018,17031010202,Other / Joint,2,0,2,350000.0
2018,17031010202,Race not available,7,1,6,4440000.0
2018,17031010202,White (non-Hispanic),11,1,10,2300000.0
2018,17031010300,Asian,7,1,6,630000.0
2018,17031010300,Black,13,5,8,1020000.0
2018,17031010300,Latino/Hispanic,9,5,3,945000.0
2018,17031010300,Other / Joint,1,0,1,275000.0
2018,17031010300,Race not available,11,3,7,4985000.0
2018,17031010300,White (non-Hispanic),78,17,59,10505000.0
2018,17031010400,Asian,4,2,2,150000.0
2018,17031010400,Black,4,2,2,130000.0
2018,17031010400,Latino/Hispanic,3,0,3,505000.0
2018,17031010400,Other / Joint,5,1,4,520000.0
2018,17031010400,Race not available,12,2,10,10170000.0
2018,17031010400,White (non-Hispanic),49,7,42,7210000.0
2018,17031010501,Asian,6,1,5,385000.0
2018,17031010501,Black,2,1,1,125000.0
2018,17031010501,Latino/Hispanic,3,1,2,350000.0
2018,17031010501,Other / Joint,1,0,1,145000.0
2018,17031010501,Race not available,17,1,14,24360000.0
2018,17031010501,White (non-Hispanic),43,7,33,5835000.0
2018,17031010502,Asian,2,1,1,165000.0
2018,17031010502,Black,5,1,4,670000.0
2018,17031010502,Latino/Hispanic,5,2,3,465000.0
2018,17031010502,Other / Joint,1,1,0,0.0
2018,17031010502,Race not available,12,2,10,2840000.0
2018,17031010502,White (non-Hispanic),31,7,23,6915000.0
2018,17031010503,Race not available,5,1,4,5150000.0
2018,17031010503,White (non-Hispanic),17,3,14,4480000.0
2018,17031010600,Asian,12,3,9,1685000.0
2018,17031010600,Black,9,6,3,535000.0
2018,17031010600,Latino/Hispanic,14,3,10,1780000.0
2018,17031010600,Other / Joint,8,2,6,1250000.0
2018,17031010600,Race not available,25,6,19,16305000.0
2018,17031010600,White (non-Hispanic),68,11,56,10720000.0
2018,17031010701,Asian,5,3,2,200000.0
2018,17031010701,Black,9,1,8,970000.0
2018,17031010701,Latino/Hispanic,9,0,9,1245000.0
2018,17031010701,Other / Joint,3,0,3,995000.0
2018,17031010701,Race not available,11,1,10,6890000.0
2018,17031010701,White (non-Hispanic),50,7,42,9110000.0
2018,17031010702,Asian,9,2,7,1405000.0
2018,17031010702,Black,7,2,5,645000.0
2018,17031010702,Latino/Hispanic,11,5,6,720000.0
2018,17031010702,Other / Joint,3,1,2,480000.0
2018,17031010702,Race not available,20,4,16,13410000.0
2018,17031010702,White (non-Hispanic),40,6,34,5510000.0
2018,17031020100,Asian,14,6,8,730000.0
2018,17031020100,Black,21,6,15,2155000.0
2018,17031020100,Latino/Hispanic,15,4,9,1445000.0
2018,17031020100,Other / Joint,3,2,1,105000.0
2018,17031020100,Race not available,14,4,9,4665000.0
2018,17031020100,White (non-Hispanic),27,5,21,3645000.0
2018,17031020200,Asian,20,7,12,2570000.0
2018,17031020200,Black,6,2,4,1300000.0
2018,17031020200,Latino/Hispanic,13,5,8,2310000.0
2018,17031020200,Other / Joint,3,1,2,360000.0
2018,17031020200,Race not available,34,8,24,15450000.0
2018,17031020200,White (non-Hispanic),100,26,72,18040000.0
2018,17031020301,Asian,25,10,13,1875000.0
2018,17031020301,Black,4,0,4,370000.0
2018,17031020301,Latino/Hispanic,6,3,3,435000.0
2018,17031020301,Other / Joint,3,1,2,580000.0
2018,17031020301,Race not available,15,10,5,605000.0
2018,17031020301,White (non-Hispanic),99,25,73,16465000.0
2018,17031020302,Asian,12,4,8,1800000.0
2018,17031020302,Black,9,4,5,795000.0
2018,17031020302,Latino/Hispanic,9,4,4,710000.0
2018,17031020302,Race not available,18,5,13,13485000.0
2018,17031020302,White (non-Hispanic),68,16,49,11185000.0
2018,17031020400,Asian,13,3,10,1410000.0
2018,17031020400,Black,9,3,6,1240000.0
2018,17031020400,Latino/Hispanic,5,1,4,500000.0
2018,17031020400,Other / Joint,2,0,2,310000.0
2018,17031020400,Race not available,9,2,7,5235000.0
2018,17031020400,White (non-Hispanic),34,4,29,6855000.0
2018,17031020500,Asian,25,6,18,2550000.0
2018,17031020500,Black,10,4,6,910000.0
2018,17031020500,Latino/Hispanic,17,6,9,1155000.0
2018,17031020500,Other / Joint,2,0,2,360000.0
2018,17031020500,Race not available,13,4,9,1685000.0
2018,17031020500,White (non-Hispanic),25,6,19,4685000.0
2018,17031020601,Asian,16,3,12,2510000.0
2018,17031020601,Black,5,0,5,1185000.0
2018,17031020601,Latino/Hispanic,5,1,4,920000.0
2018,17031020601,Other / Joint,5,1,3,805000.0
2018,17031020601,Race not available,14,2,10,4150000.0
2018,17031020601,White (non-Hispanic),39,8,31,8095000.0
2018,17031020602,Asian,18,9,9,1925000.0
2018,17031020602,Black,5,1,4,980000.0
2018,17031020602,Latino/Hispanic,8,3,5,995000.0
2018,17031020602,Other / Joint,3,0,3,975000.0
2018,17031020602,Race not available,13,3,10,3410000.0
2018,17031020602,White (non-Hispanic),29,3,26,6910000.0
2018,17031020701,Asian,7,1,6,1450000.0
2018,17031020701,Black,1,0,1,505000.0
2018,17031020701,Latino/Hispanic,7,1,6,1910000.0
2018,17031020701,Race not available,7,0,7,1725000.0
2018,17031020701,White (non-Hispanic),20,6,13,3215000.0
2018,17031020702,Asian,27,9,16,3700000.0
2018,17031020702,Black,7,2,5,1185000.0
2018,17031020702,Latino/Hispanic,10,7,3,705000.0
2018,17031020702,Other / Joint,4,2,1,195000.0
2018,17031020702,Race not available,10,0,10,7500000.0
2018,17031020702,White (non-Hispanic),48,16,32,5870000.0
2018,17031020801,Asian,12,3,9,2175000.0
2018,17031020801,Black,3,1,2,330000.0
2018,17031020801,Latino/Hispanic,11,2,9,2325000.0
2018,17031020801,Other / Joint,1,0,1,305000.0
2018,17031020801,Race not available,15,4,11,3045000.0
2018,17031020801,White (non-Hispanic),37,8,29,6455000.0
2018,17031020802,Asian,37,13,24,5980000.0
2018,17031020802,Black,2,1,1,195000.0
2018,17031020802,Latino/Hispanic,15,4,11,2505000.0
2018,17031020802,Other / Joint,6,3,3,515000.0
2018,17031020802,Race not available,11,2,8,5190000.0
2018,17031020802,White (non-Hispanic),44,11,31,8195000.0
2018,17031020901,Asian,18,8,8,1190000.0
2018,17031020901,Black,13,5,8,1040000.0
2018,17031020901,Latino/Hispanic,13,3,10,2530000.0
2018,17031020901,Race not available,21,5,15,9175000.0
2018,17031020901,White (non-Hispanic),21,9,12,2500000.0
2018,17031020902,Asian,10,5,5,355000.0
2018,17031020902,Black,9,6,3,605000.0
2018,17031020902,Latino/Hispanic,7,4,3,205000.0
2018,17031020902,Other / Joint,3,2,1,355000.0
2018,17031020902,Race not available,10,6,4,5470000.0
2018,17031020902,White (non-Hispanic),27,7,19,3075000.0
2018,17031030101,Asian,18,3,15,2275000.0
2018,17031030101,Black,9,7,2,230000.0
2018,17031030101,Latino/Hispanic,6,2,4,700000.0
2018,17031030101,Other / Joint,1,0,1,175000.0
2018,17031030101,Race not available,18,6,11,15365000.0
2018,17031030101,White (non-Hispanic),51,15,36,6430000.0
2018,17031030102,Asian,7,2,5,1055000.0
2018,17031030102,Black,11,5,4,230000.0
2018,17031030102,Latino/Hispanic,7,1,6,1040000.0
2018,17031030102,Other / Joint,5,0,5,1035000.0
2018,17031030102,Race not available,20,9,11,23225000.0
2018,17031030102,White (non-Hispanic),68,19,48,7910000.0
2018,17031030103,Asian,9,2,6,1290000.0
2018,17031030103,Black,4,3,1,245000.0
2018,17031030103,Latino/Hispanic,7,1,6,920000.0
2018,17031030103,Other / Joint,5,3,1,255000.0
2018,17031030103,Race not available,7,4,3,3655000.0
2018,17031030103,White (non-Hispanic),29,4,25,4185000.0
2018,17031030104,Asian,9,1,8,730000.0
2018,17031030104,Black,4,1,2,250000.0
2018,17031030104,Latino/Hispanic,3,1,2,130000.0
2018,17031030104,Other / Joint,1,1,0,0.0
2018,17031030104,Race not available,3,0,3,2985000.0
2018,17031030104,White (non-Hispanic),29,4,24,2890000.0
2018,17031030200,Asian,7,2,5,1525000.0
2018,17031030200,Black,5,0,5,1005000.0
2018,17031030200,Latino/Hispanic,5,0,5,905000.0
2018,17031030200,Other / Joint,3,0,3,755000.0
2018,17031030200,Race not available,21,5,16,9240000.0
2018,17031030200,White (non-Hispanic),132,14,116,30810000.0
2018,17031030300,Asian,9,1,8,1390000.0
2018,17031030300,Latino/Hispanic,9,6,3,725000.0
2018,17031030300,Race not available,11,4,7,10605000.0
2018,17031030300,White (non-Hispanic),35,9,24,5890000.0
2018,17031030400,Asian,7,2,5,915000.0
2018,17031030400,Black,2,2,0,0.0
2018,17031030400,Latino/Hispanic,5,1,4,550000.0
2018,17031030400,Other / Joint,2,1,1,455000.0
2018,17031030400,Race not available,16,5,11,11155000.0
2018,17031030400,White (non-Hispanic),60,6,53,19885000.0
2018,17031030500,Asian,6,0,6,1380000.0
2018,17031030500,Black,2,0,1,275000.0
2018,17031030500,Latino/Hispanic,17,6,11,2425000.0
2018,17031030500,Other / Joint,4,0,4,480000.0
2018,17031030500,Race not available,24,2,22,13380000.0
2018,17031030500,White (non-Hispanic),107,14,93,25435000.0
2018,17031030601,Asian,1,0,1,145000.0
2018,17031030601,Latino/Hispanic,4,2,2,490000.0
2018,17031030601,Other / Joint,3,2,1,145000.0
2018,17031030601,Race not available,11,3,7,4355000.0
2018,17031030601,White (non-Hispanic),36,9,27,7015000.0
2018,17031030603,Latino/Hispanic,1,0,1,125000.0
2018,17031030603,Race not available,2,0,2,4820000.0
2018,17031030603,White (non-Hispanic),20,8,12,2170000.0
2018,17031030604,Asian,8,1,7,855000.0
2018,17031030604,Black,4,1,2,190000.0
2018,17031030604,Latino/Hispanic,2,0,2,190000.0
2018,17031030604,Race not available,10,1,9,3525000.0
2018,17031030604,White (non-Hispanic),46,14,30,4820000.0
2018,17031030701,Asian,4,2,2,310000.0
2018,17031030701,Race not available,4,2,2,4890000.0
2018,17031030701,White (non-Hispanic),17,3,14,2940000.0
2018,17031030702,Asian,13,6,6,740000.0
2018,17031030702,Black,9,2,7,1005000.0
2018,17031030702,Latino/Hispanic,3,0,3,275000.0
2018,17031030702,Other / Joint,3,0,3,415000.0
2018,17031030702,Race not available,12,4,8,1090000.0
2018,17031030702,White (non-Hispanic),34,15,17,2195000.0
2018,17031030703,Asian,12,2,10,1570000.0
2018,17031030703,Black,2,1,1,195000.0
2018,17031030703,Latino/Hispanic,7,2,5,545000.0
2018,17031030703,Other / Joint,2,0,2,620000.0
2018,17031030703,Race not available,10,2,8,2560000.0
2018,17031030703,White (non-Hispanic),50,7,41,9935000.0
2018,17031030706,Asian,8,2,6,780000.0
2018,17031030706,Black,3,1,2,210000.0
2018,17031030706,Latino/Hispanic,4,1,3,395000.0
2018,17031030706,Other / Joint,5,1,4,610000.0
2018,17031030706,Race not available,19,4,15,35865000.0
2018,17031030706,White (non-Hispanic),54,7,44,8030000.0
2018,17031030800,Asian,5,3,2,490000.0
2018,17031030800,Latino/Hispanic,3,2,1,225000.0
2018,17031030800,Other / Joint,4,1,2,710000.0
2018,17031030800,Race not available,12,2,10,5580000.0
2018,17031030800,White (non-Hispanic),85,11,72,28510000.0
2018,17031030900,Asian,4,1,3,995000.0
2018,17031030900,Latino/Hispanic,12,7,5,1635000.0
2018,17031030900,Other / Joint,2,0,2,710000.0
2018,17031030900,Race not available,18,1,17,6795000.0
2018,17031030900,White (non-Hispanic),68,7,61,20775000.0
2018,17031031000,Asian,11,3,8,2640000.0
2018,17031031000,Black,1,0,1,145000.0
2018,17031031000,Latino/Hispanic,3,0,3,425000.0
2018,17031031000,Other / Joint,4,0,4,1240000.0
2018,17031031000,Race not available,19,5,13,12805000.0
2018,17031031000,White (non-Hispanic),106,13,89,25875000.0
2018,17031031100,Asian,4,1,3,315000.0
2018,17031031100,Black,1,0,1,455000.0
2018,17031031100,Latino/Hispanic,6,1,5,1375000.0
2018,17031031100,Other / Joint,3,0,3,915000.0
2018,17031031100,Race not available,19,4,15,14815000.0
2018,17031031100,White (non-Hispanic),85,14,70,19430000.0
2018,17031031200,Asian,11,2,9,1825000.0
2018,17031031200,Black,4,1,3,655000.0
2018,17031031200,Latino/Hispanic,7,0,7,1165000.0
2018,17031031200,Other / Joint,2,0,2,350000.0
2018,17031031200,Race not available,14,3,11,15865000.0
2018,17031031200,White (non-Hispanic),65,4,60,14560000.0
2018,17031031300,Asian,18,7,11,1315000.0
2018,17031031300,Black,8,2,6,1040000.0
2018,17031031300,Latino/Hispanic,14,5,9,1255000.0
2018,17031031300,Other / Joint,2,1,1,105000.0
2018,17031031300,Race not available,15,3,10,1490000.0
2018,17031031300,White (non-Hispanic),89,18,69,11405000.0
2018,17031031400,Asian,21,5,15,2475000.0
2018,17031031400,Black,8,3,5,765000.0
2018,17031031400,Latino/Hispanic,24,7,16,2500000.0
2018,17031031400,Other / Joint,5,1,4,810000.0
2018,17031031400,Race not available,33,9,23,13895000.0
2018,17031031400,White (non-Hispanic),123,34,86,16090000.0
2018,17031031501,Asian,1,0,1,185000.0
2018,17031031501,Black,5,1,4,660000.0
2018,17031031501,Latino/Hispanic,5,1,4,620000.0
2018,17031031501,Other / Joint,1,0,1,115000.0
2018,17031031501,Race not available,7,2,5,4745000.0
2018,17031031501,White (non-Hispanic),30,6,24,5000000.0
2018,17031031502,Asian,3,2,1,275000.0
2018,17031031502,Black,4,2,2,500000.0
2018,17031031502,Latino/Hispanic,3,1,2,470000.0
2018,17031031502,Other / Joint,1,0,1,345000.0
2018,17031031502,Race not available,12,2,10,58940000.0
2018,17031031502,White (non-Hispanic),40,8,31,7685000.0
2018,17031031700,Asian,8,3,5,1275000.0
2018,17031031700,Black,4,1,3,1075000.0
2018,17031031700,Latino/Hispanic,11,2,9,1765000.0
2018,17031031700,Other / Joint,8,0,8,2530000.0
2018,17031031700,Race not available,26,3,22,15470000.0
2018,17031031700,White (non-Hispanic),121,17,103,26285000.0
2018,17031031800,Asian,4,1,3,895000.0
2018,17031031800,Latino/Hispanic,2,0,2,620000.0
2018,17031031800,Race not available,4,0,4,13350000.0
2018,17031031800,White (non-Hispanic),42,3,39,13435000.0
2018,17031031900,Asian,1,1,0,0.0
2018,17031031900,Black,1,1,0,0.0
2018,17031031900,Latino/Hispanic,2,1,0,0.0
2018,17031031900,Other / Joint,3,0,3,785000.0
2018,17031031900,Race not available,12,1,11,11615000.0
2018,17031031900,White (non-Hispanic),58,13,44,12600000.0
2018,17031032100,Asian,7,2,5,945000.0
2018,17031032100,Black,3,2,1,335000.0
2018,17031032100,Latino/Hispanic,13,5,8,1610000.0
2018,17031032100,Other / Joint,2,0,2,400000.0
2018,17031032100,Race not available,24,4,19,6215000.0
2018,17031032100,White (non-Hispanic),121,15,100,27620000.0
2018,17031040100,Asian,6,3,3,965000.0
2018,17031040100,Black,4,0,4,990000.0
2018,17031040100,Latino/Hispanic,7,4,3,755000.0
2018,17031040100,Other / Joint,5,0,5,2845000.0
2018,17031040100,Race not available,35,5,30,15420000.0
2018,17031040100,White (non-Hispanic),91,22,69,27315000.0
2018,17031040201,Asian,8,3,5,1245000.0
2018,17031040201,Black,1,1,0,0.0
2018,17031040201,Latino/Hispanic,15,4,10,3050000.0
2018,17031040201,Other / Joint,5,0,5,1825000.0
2018,17031040201,Race not available,35,7,28,13840000.0
2018,17031040201,White (non-Hispanic),136,22,112,35910000.0
2018,17031040202,Asian,21,7,14,2870000.0
2018,17031040202,Black,3,1,2,400000.0
2018,17031040202,Latino/Hispanic,27,9,17,3205000.0
2018,17031040202,Other / Joint,4,0,4,1340000.0
2018,17031040202,Race not available,28,4,23,9955000.0
2018,17031040202,White (non-Hispanic),65,12,53,12335000.0
2018,17031040300,Asian,16,7,8,1550000.0
2018,17031040300,Black,2,0,2,290000.0
2018,17031040300,Latino/Hispanic,9,3,5,1785000.0
2018,17031040300,Other / Joint,3,1,2,500000.0
2018,17031040300,Race not available,9,2,6,1690000.0
2018,17031040300,White (non-Hispanic),41,9,31,6995000.0
2018,17031040401,Asian,5,1,4,2070000.0
2018,17031040401,Latino/Hispanic,6,5,1,275000.0
2018,17031040401,Race not available,16,1,15,8635000.0
2018,17031040401,White (non-Hispanic),72,13,57,20895000.0
2018,17031040402,Asian,2,0,2,420000.0
2018,17031040402,Latino/Hispanic,9,3,6,1390000.0
2018,17031040402,Other / Joint,4,0,4,1410000.0
2018,17031040402,Race not available,11,0,11,10015000.0
2018,17031040402,White (non-Hispanic),86,9,74,25190000.0
2018,17031040600,Black,1,0,1,385000.0
2018,17031040600,Latino/Hispanic,2,1,1,215000.0
2018,17031040600,Other / Joint,2,0,2,1050000.0
2018,17031040600,Race not available,9,0,9,10385000.0
2018,17031040600,White (non-Hispanic),62,10,50,23740000.0
2018,17031040700,Asian,2,0,2,810000.0
2018,17031040700,Black,1,1,0,0.0
2018,17031040700,Latino/Hispanic,4,1,3,555000.0
2018,17031040700,Other / Joint,4,3,1,225000.0
2018,17031040700,Race not available,15,3,12,11510000.0
2018,17031040700,White (non-Hispanic),72,9,63,23555000.0
2018,17031040800,Asian,3,0,3,1065000.0
