"station_id","stationname","annual_rides_2023"
"41660","Lake/State","3101354"
"40890","O'Hare Airport","2780200"
"40380","Clark/Lake","2498459"
"41450","Chicago/State","2375146"
"41220","Fullerton","2358244"
"40260","State/Lake","2345432"
"41400","Roosevelt","2261962"
"41320","Belmont-North Main","2199241"
"41700","Washington/Wabash","2079125"
"40330","Grand/State","2010967"
"40370","Washington/Dearborn","1987482"
"41420","Addison-North Main","1851999"
"40540","Wilson","1626630"
"40930","Midway Airport","1530495"
"40630","Clark/Division","1497115"
"40450","95th/Dan Ryan","1439185"
"40680","Adams/Wabash","1303464"
"41280","Jefferson Park","1234040"
"40560","Jackson/State","1225612"
"41090","Monroe/State","1189272"
"40730","Washington/Wells","1172095"
"40040","Quincy/Wells","1168184"
"40710","Chicago/Franklin","1162834"
"41020","Logan Square","1146432"
"40820","Rosemont","1085136"
"40460","Merchandise Mart","1079411"
"40590","Damen/Milwaukee","1037730"
"40320","Division/Milwaukee","1034198"
"40070","Jackson/Dearborn","1025052"
"41000","Cermak-Chinatown","998722"
"41510","Morgan-Lake","996994"
"40900","Howard","991213"
"40650","North/Clybourn","973379"
"41300","Loyola","971815"
"40790","Monroe/Dearborn","966150"
"40240","79th","950588"
"40960","Pulaski-Orange","917293"
"40530","Diversey","913013"
"40060","Belmont-O'Hare","905649"
"40670","Western/Milwaukee","890031"
"40350","UIC-Halsted","858623"
"40570","California/Milwaukee","856034"
"41200","Argyle","834807"
"40080","Sheridan","826240"
"40850","Library","806156"
"41290","Kimball","792432"
"40660","Armitage","791118"
"40800","Sedgwick","763003"
"40100","Morse","754644"
"41490","Harrison","751209"
"41160","Clinton-Lake","727622"
"40310","Western-Orange","716129"
"40190","Sox-35th-Dan Ryan","713461"
"40550","Irving Park-O'Hare","710429"
"40760","Granville","702527"
"40990","69th","699741"
"41480","Western-Brown","695492"
"41150","Kedzie-Midway","678104"
"41410","Chicago/Milwaukee","663627"
"40360","Southport","651519"
"41380","Bryn Mawr","644683"
"41030","Polk","614086"
"40020","Harlem-Lake","601810"
"40230","Cumberland","582502"
"40170","Ashland-Lake","575331"
"41430","87th","565344"
"40490","Grand/Milwaukee","557488"
"40880","Thorndale","538274"
"40120","35th/Archer","533414"
"40050","Davis","521222"
"41210","Wellington","507557"
"41340","LaSalle","493924"
"41310","Paulina","492307"
"41130","Halsted-Orange","492069"
"41170","Garfield-Dan Ryan","489665"
"41460","Irving Park-Brown","477458"
"41240","Addison-O'Hare","474356"
"40750","Harlem-O'Hare","470124"
"40090","Damen-Brown","466340"
"40580","54th/Cermak","465138"
"41230","47th-Dan Ryan","442155"
"40160","LaSalle/Van Buren","439145"
"40430","Clinton-Forest Park","437748"
"40810","Medical Center","426154"
"41500","Montrose-Brown","424501"
"41330","Montrose-O'Hare","415523"
"40830","18th","407059"
"40910","63rd-Dan Ryan","404231"
"41180","Kedzie-Brown","395402"
"41690","Cermak-McCormick Place","376918"
"40280","Central-Lake","369318"
"41440","Addison-Brown","353957"
"40390","Forest Park","350494"
"41060","Ashland-Orange","347195"
"40210","Damen-Cermak","341069"
"40440","California-Cermak","320395"
"41190","Jarvis","312534"
"41260","Austin-Lake","309839"
"41120","35-Bronzeville-IIT","303515"
"41010","Rockwell","283495"
"40030","Pulaski-Lake","275550"
"40870","Francisco","275228"
"40420","Cicero-Cermak","264567"
"40740","Western-Cermak","258216"
"40140","Dempster-Skokie","252346"
"41040","Kedzie-Cermak","241902"
"40250","Kedzie-Homan-Forest Park","238085"
"40150","Pulaski-Cermak","235152"
"41070","Kedzie-Lake","228200"
"41350","Oak Park-Lake","227528"
"40920","Pulaski-Forest Park","224656"
"40780","Central Park","219936"
"40470","Racine","215109"
"40480","Cicero-Lake","211977"
"41360","California-Lake","207270"
"40700","Laramie","204646"
"40610","Ridgeland","200253"
"40510","Garfield-South Elevated","198195"
"41670","Conservatory","193968"
"40220","Western-Forest Park","189359"
"40010","Austin-Forest Park","184948"
"40270","Main","179436"
"40720","East 63rd-Cottage Grove","178932"
"40970","Cicero-Forest Park","178399"
"41080","47th-South Elevated","171033"
"40290","Ashland/63rd","164412"
"41270","43rd","159245"
"41050","Linden","159186"
"40400","Noyes","156904"
"40130","51st","156547"
"40180","Oak Park-Forest Park","152748"
"40690","Dempster","141099"
"40520","Foster","137875"
"41250","Central-Evanston","135516"
"41680","Oakton-Skokie","133944"
"40840","South Boulevard","118005"
"40980","Harlem-Forest Park","117854"
"40300","Indiana","108256"
"40600","Kostner","86519"
"40940","Halsted/63rd","84125"
"41140","King Drive","77755"
"40770","Lawrence","0"
"40340","Berwyn","0"
