"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"1991-001","100 Diana","331 Thornton Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-07-22T00:00:00.000","3","3","0","0","0","0","3","0","0","0","3","0","0","0","0","37.7310577","-122.3962729","POINT (-122.3962729 37.7310577)"
"1994-018","101 Valencia","101 Valencia St","94103","6","Mission","South of Market","Not in an OCII Project Area","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","City Second Loan Program",,"1999-06-07T00:00:00.000","164","54","0","1","15","27","9","0","0","0","0","0","0","0","0","37.7714743","-122.4221655","POINT (-122.4221655 37.7714743)"
"2020-039b","1023 3rd St (Mission Rock Parcel A)","1023 3rd St","94158","6","Mission Bay","South of Market","Mission Bay","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","Mission Rock","2023-06-15T00:00:00.000","130","74","0","8","38","23","5","0","0","0","0","0","0","0","0","37.77562336","-122.389753","POINT (-122.389753 37.77562336)"
"1992-014","1028 Howard","1028 Howard St","94103","6","South of Market","South of Market","South of Market","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1994-06-10T00:00:00.000","31","30","0","0","5","11","14","0","0","0","0","0","0","0","0","37.7794692","-122.4079205","POINT (-122.4079205 37.7794692)"
"2006-001","1036 Mission","1036 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-10-12T00:00:00.000","83","83","0","0","38","38","7","0","0","0","0","0","40","0","0","37.78044083","-122.4096458","POINT (-122.4096458 37.78044083)"
"2017-039","1064 Mission","1064-1068 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-12-20T00:00:00.000","256","256","0","256","0","0","0","0","0","0","0","0","256","256","0","37.78026776","-122.4098659","POINT (-122.4098659 37.78026776)"
"2004-024","10th & Mission Family Housing","1390 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-10-06T00:00:00.000","137","136","0","0","34","42","60","0","0","0","0","0","44","44","0","37.77562492","-122.4158404","POINT (-122.4158404 37.77562492)"
"2012-019a","1101 Connecticut","1101 Connecticut St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Potrero HOPE SF","2019-10-28T00:00:00.000","72","72","0","2","10","51","9","0","0","0","0","0","0","0","0","37.75218059","-122.3963238","POINT (-122.3963238 37.75218059)"
"1991-010","1101 Howard","1101 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1995-02-02T00:00:00.000","35","34","0","0","6","14","14","0","0","0","0","0","0","0","0","37.77761646","-122.4093893","POINT (-122.4093893 37.77761646)"
"2008-002","1180 4th","1180 4th St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2015-04-02T00:00:00.000","151","150","0","0","42","54","54","0","0","0","0","0","47","50","12","37.77354081","-122.3920231","POINT (-122.3920231 37.77354081)"
"1982-016","1200 Gough","1200 Gough St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2006-08-23T00:00:00.000","7","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.78477759","-122.4241171","POINT (-122.4241171 37.78477759)"
"2002-003","1234 Howard","1234 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-10-04T00:00:00.000","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.77587964","-122.4123611","POINT (-122.4123611 37.77587964)"
"2017-010","1298 Howard","1298 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-09-14T00:00:00.000","17","17","0","4","6","7","0","0","0","0","0","0","0","0","0","37.77558409","-122.4130216","POINT (-122.4130216 37.77558409)"
"2013-063","1335 Folsom Street","1335 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-10-10T00:00:00.000","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","37.77318439","-122.4119083","POINT (-122.4119083 37.77318439)"
"2015-015","1353-1357 Folsom","1353-1357 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2018-02-05T00:00:00.000","3","3","0","0","0","1","1","0","1","0","0","0","0","0","0","37.77299153","-122.4121502","POINT (-122.4121502 37.77299153)"
"2020-022","1353 Stevenson","1353-1357A Stevenson St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2019-11-14T00:00:00.000","7","7","0","0","1","6","0","0","0","0","0","0","0","0","0","37.77071315","-122.4214553","POINT (-122.4214553 37.77071315)"
"2021-013","139 Dore","139 Dore St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Cooperative Living for Mental Health",,"1989-12-05T00:00:00.000","6","6","0","0","0","0","6","0","0","0","0","0","0","0","0","37.77298202","-122.4115292","POINT (-122.4115292 37.77298202)"
"2013-059a","1400 Mission-Ownership","1400 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1400 Mission","2015-12-22T00:00:00.000","167","167","0","4","53","93","17","0","0","0","0","0","0","0","0","37.77524798","-122.4162475","POINT (-122.4162475 37.77524798)"
