"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2013-018","1001 17th Street","1001 17th St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-02-01T00:00:00.000","5","5","0","1","2","2","0","0","0","0","0","0","0","0","0","37.76516884","-122.3941457","POINT (-122.3941457 37.76516884)"
"2021-014","1005 Powell","1005 Powell St St","94108","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Big Sites Program",,"2024-04-18T00:00:00.000","64","64","64","0","0","0","0","0","0","0","0","0","0","0","0","37.7940883","-122.4097951","POINT (-122.4097951 37.7940883)"
"1991-001","100 Diana","331 Thornton Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-07-22T00:00:00.000","3","3","0","0","0","0","3","0","0","0","3","0","0","0","0","37.7310577","-122.3962729","POINT (-122.3962729 37.7310577)"
"1979-002","100 Parker","100 Parker Ave","94118","2","Presidio Heights","Presidio Heights","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2018-04-20T00:00:00.000","4","3","0","1","2","0","0","0","0","0","3","0","0","0","0","37.78378924","-122.4543477","POINT (-122.4543477 37.78378924)"
"2013-058","100 Van Ness Apartments","100 Van Ness Ave","94102","6","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-10-03T00:00:00.000","50","50","0","6","26","18","0","0","0","0","0","0","0","0","0","37.77672111","-122.4191766","POINT (-122.4191766 37.77672111)"
"2017-003","1015 Shotwell","1015 Shotwell St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"1986-10-01T00:00:00.000","10","10","0","2","7","1","0","0","0","0","0","0","0","0","0","37.75188861","-122.4147932","POINT (-122.4147932 37.75188861)"
"1994-018","101 Valencia","101 Valencia St","94103","6","Mission","South of Market","Not in an OCII Project Area","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","City Second Loan Program",,"1999-06-07T00:00:00.000","164","54","0","1","15","27","9","0","0","0","0","0","0","0","0","37.7714743","-122.4221655","POINT (-122.4221655 37.7714743)"
"2020-039b","1023 3rd St (Mission Rock Parcel A)","1023 3rd St","94158","6","Mission Bay","South of Market","Mission Bay","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","Mission Rock","2023-06-15T00:00:00.000","130","74","0","8","38","23","5","0","0","0","0","0","0","0","0","37.77562336","-122.389753","POINT (-122.389753 37.77562336)"
"1992-014","1028 Howard","1028 Howard St","94103","6","South of Market","South of Market","South of Market","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1994-06-10T00:00:00.000","31","30","0","0","5","11","14","0","0","0","0","0","0","0","0","37.7794692","-122.4079205","POINT (-122.4079205 37.7794692)"
"2017-009","1028 Market Street","1028 Market St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-05-05T00:00:00.000","26","26","0","13","6","7","0","0","0","0","0","0","0","0","0","37.78188348","-122.4113218","POINT (-122.4113218 37.78188348)"
"1986-002","1030 Bush","1030 Bush St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1988-03-18T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78969149","-122.414316","POINT (-122.414316 37.78969149)"
"2006-001","1036 Mission","1036 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-10-12T00:00:00.000","83","83","0","0","38","38","7","0","0","0","0","0","40","0","0","37.78044083","-122.4096458","POINT (-122.4096458 37.78044083)"
"2017-039","1064 Mission","1064-1068 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-12-20T00:00:00.000","256","256","0","256","0","0","0","0","0","0","0","0","256","256","0","37.78026776","-122.4098659","POINT (-122.4098659 37.78026776)"
"1995-003","1099 Mississippi","1099 Mississippi St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1998-07-20T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.75272699","-122.3933278","POINT (-122.3933278 37.75272699)"
"2004-024","10th & Mission Family Housing","1390 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-10-06T00:00:00.000","137","136","0","0","34","42","60","0","0","0","0","0","44","44","0","37.77562492","-122.4158404","POINT (-122.4158404 37.77562492)"
"2009-001","1100 Ocean","1100 Ocean Ave","94112","7","West of Twin Peaks","West of Twin Peaks","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2015-02-23T00:00:00.000","72","71","0","18","18","21","14","0","0","0","0","0","25","25","0","37.72350704","-122.4535801","POINT (-122.4535801 37.72350704)"
"1982-015","1101-03 Lake","103 12th Ave","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1982-03-12T00:00:00.000","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.78616854","-122.4712832","POINT (-122.4712832 37.78616854)"
"2012-019a","1101 Connecticut","1101 Connecticut St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Potrero HOPE SF","2019-10-28T00:00:00.000","72","72","0","2","10","51","9","0","0","0","0","0","0","0","0","37.75218059","-122.3963238","POINT (-122.3963238 37.75218059)"
"1991-010","1101 Howard","1101 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1995-02-02T00:00:00.000","35","34","0","0","6","14","14","0","0","0","0","0","0","0","0","37.77761646","-122.4093893","POINT (-122.4093893 37.77761646)"
"2016-001","111 Jones Street Apartments","111 Jones St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1993-09-30T00:00:00.000","108","108","0","8","64","16","20","0","0","0","0","0","0","0","0","37.78217271","-122.4123888","POINT (-122.4123888 37.78217271)"
"2023-019","1130 Filbert","1130 Filbert St","94109","3","Russian Hill","Russian Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2023-06-20T00:00:00.000","4","4","0","0","1","3","0","0","0","0","0","0","0","0","0","37.80048875","-122.4181652","POINT (-122.4181652 37.80048875)"
"1992-003","1130 Mariposa","1130 Mariposa St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1999-03-23T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.76416281","-122.3952956","POINT (-122.3952956 37.76416281)"
"2021-021","1140-1142 Florida","1140-1142 Florida St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Cooperative Living for Mental Health",,"2024-08-06T00:00:00.000","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","37.75363016","-122.4104247","POINT (-122.4104247 37.75363016)"
"1978-002","1145-1155 Filbert","1145-1155 Filbert St","94109","3","Russian Hill","Russian Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2010-04-21T00:00:00.000","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.79998025","-122.4182867","POINT (-122.4182867 37.79998025)"
"1983-017","1145 Pine","1145 Pine St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1995-08-22T00:00:00.000","20","4","0","1","3","0","0","0","0","0","0","0","0","0","0","37.7900748","-122.4147184","POINT (-122.4147184 37.7900748)"
"2005-016","1158 Sutter","1158 Sutter St","94109","3","Nob Hill","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-06-25T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.78798854","-122.4195631","POINT (-122.4195631 37.78798854)"
"2008-002","1180 4th","1180 4th St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2015-04-02T00:00:00.000","151","150","0","0","42","54","54","0","0","0","0","0","47","50","12","37.77354081","-122.3920231","POINT (-122.3920231 37.77354081)"
