"pin","year","class","township_code","case_no","hearing_type","subkey","appeal_type","status","mailed_bldg","mailed_land","mailed_tot","certified_bldg","certified_land","certified_tot","change","reason_code1","reason_desc1","reason_code2","reason_desc2","reason_code3","reason_desc3","agent_code","agent_name","row_id"
"01011000060000","2003","211","10","9000140","Current year appeal","1","residential",,"28430","9665","38095","25799","9665","35464","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"0101100006000020039000140A1"
"01011010200000","2003","517","10","164","Current year appeal","1","commercial",,"45429","14189","59618","45429","14189","59618","no change","18","This is due to lack of data having been submitted for our review.","22","This is due to income, market or cost analysis supporting the assessment.",,,,,"010110102000002003164A1"
"01011020010000","2003","592","10","142","Current year appeal","1","commercial",,"98932","15950","114882","98932","15950","114882","no change","25",,"22","This is due to income, market or cost analysis supporting the assessment.",,,,,"010110200100002003142A1"
"01011020020000","2003","517","10","8","Current year appeal","1","commercial",,"30858","7020","37878","15429","7020","22449","change","16","This is due to your property's uniformity with comparable properties.","5","This is the result of the partial occupancy of your property.",,,,,"0101102002000020038A1"
"01011020050000","2003","592","10","142","Current year appeal","1","commercial",,"112471","12046","124517","112471","12046","124517","no change","25",,"22","This is due to income, market or cost analysis supporting the assessment.",,,,,"010110200500002003142A1"
"01011030020000","2003","591","10","145","Current year appeal","1","commercial",,"828341","43139","871480","520197","43139","563336","change","9","This is the result of a sale analysis of your property.","22","This is due to income, market or cost analysis supporting the assessment.",,,,,"010110300200002003145A1"
"01011030030000","2003","592","10","26","Current year appeal","1","commercial",,"585843","23197","609040","363222","23197","386419","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"01011030030000200326A1"
"01011030040000","2003","592","10","26","Current year appeal","1","commercial",,"585843","24990","610833","363222","24990","388212","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"01011030040000200326A1"
"01011040120000","2003","592","10","133","Current year appeal","1","commercial",,"116600","16520","133120","116600","16520","133120","no change","27","This is due to an analysis of the sale of the property.","22","This is due to income, market or cost analysis supporting the assessment.",,,,,"010110401200002003133A1"
"01011100010000","2003","211","10","9000207","Current year appeal","1","residential",,"28325","8725","37050","28325","8725","37050",,,,,,,,,,"0101110001000020039000207A1"
"01011190200000","2003","203","10","9000206","Current year appeal","1","residential",,"20583","6980","27563","20583","6980","27563",,,,,,,,,,"0101119020000020039000206A1"
"01011230100000","2003","315","10","170","Current year appeal","1","commercial",,"172462","55540","228002","34490","55540","90030","change","7","This is the result of the total vacancy of your property.",,,,,,,"010112301000002003170A1"
"01011240530000","2003","205","10","20","Current year appeal","1","residential",,"21388","10456","31844","21388","10456","31844","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"01011240530000200320A1"
"01011260800000","2003","100","10","9","Current year appeal","1","land",,"0","5026","5026","0","5026","5026","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"0101126080000020039A1"
"01012010480000","2003","202","10","10","Current year appeal","1","residential",,"12899","7968","20867","12176","7968","20144","change","1","This is the result of an analysis of comparable properties.",,,,,,,"01012010480000200310A1"
"01012020140000","2003","591","10","162","Current year appeal","1","commercial",,"64755","35020","99775","64755","35020","99775","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"010120201400002003162A1"
"01012020150000","2003","591","10","162","Current year appeal","1","commercial",,"69380","32455","101835","69380","32455","101835","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"010120201500002003162A1"
"01012020160000","2003","591","10","162","Current year appeal","1","commercial",,"60129","22315","82444","60129","22315","82444","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"010120201600002003162A1"
"01012020170000","2003","591","10","162","Current year appeal","1","commercial",,"37002","19562","56564","37002","19562","56564","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"010120201700002003162A1"
"01012020370000","2003","314","10","56","Current year appeal","1","commercial",,"85368","35837","121205","85368","35837","121205","no change","25",,"22","This is due to income, market or cost analysis supporting the assessment.",,,,,"01012020370000200356A1"
"01012020420000","2003","203","10","55","Current year appeal","1","residential",,"19095","4900","23995","19095","4900","23995","no change","16","This is due to your property's uniformity with comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"01012020420000200355A1"
"01012020460000","2003","517","10","173","Current year appeal","1","commercial",,"109364","69807","179171","109364","69807","179171","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"010120204600002003173A1"
"01012020470000","2003","295","10","174","Current year appeal","1","residential",,"24591","6784","31375","24591","6784","31375","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"010120204700002003174A1"
