id,pin,address,managing_organization,property_status,date_of_acquisition,date_of_disposition,sales_status,sale_offering_status,sale_offering_reason,sq_ft,square_footage_city_estimate,land_value,ward,community_area_number,community_area_name,zoning_classification,zip_code,last_update,application_use,grouped_parcels,application_opens,application_deadline,offer_round,application_url,latitude,longitude
62151,17-27-404-018-0000,,DPD Planning,Owned by City,,,,,,12602.0,,,,,,,00000,01/21/2026,,,,,,,,
62160,20-02-311-006-0000,4543 S COTTAGE GROVE AVE,,Owned by City,,,Partially verified,,,0.0,3750.0,67494.0,4,39,KENWOOD,B1-1,60653,09/12/2025,,,,,,,41.81189162584782,-87.60615466612418
12946,16-24-206-007-0000,,,Sold,1977-07-20T00:00:00.000,2006-11-28T00:00:00.000,,,,4800.0,,,,,,,60608,09/12/2025,,,,,,,,
12970,16-23-128-034-0000,3652 W 16TH ST,DPD Planning,Owned by City,1999-03-03T00:00:00.000,,Interest,,,0.0,,,24,29,NORTH LAWNDALE,B3-2,60623,05/01/2026,,,,,,,41.85921452676086,-87.71730339120248
12725,17-09-339-015-0000,652 W MADISON ST,,Sold,,,,,,8022.0,,,34,28,NEAR WEST SIDE,PD 233,60661,09/12/2025,,,,,,,41.882351596528004,-87.6447170876011
14282,20-03-115-004-0000,4109 S INDIANA AVE,,Sold,,2013-05-01T00:00:00.000,,,,3206.0,,,3,38,GRAND BOULEVARD,RM-5,60653,09/12/2025,,,,,,,41.81983848699593,-87.62101905997451
14476,20-03-425-022-0000,4632 S CHAMPLAIN AVE,,Sold,,,,,,3184.0,,,4,38,GRAND BOULEVARD,RT-4,60653,09/12/2025,,,,,,,41.81026986664554,-87.61058925006255
50647,25-09-206-032-0000,9522 S LAFAYETTE AVE,,Owned by City,2005-05-05T00:00:00.000,,,,,0.0,,,9,49,ROSELAND,RS-3,60628,09/12/2025,,,,,,,41.72091884248841,-87.62540913080622
22400,25-25-209-005-0000,,DPD Open Space,Owned by City,2001-12-13T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
22535,25-25-209-048-0000,,DPD Open Space,Owned by City,2001-12-13T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
22817,25-24-430-037-0000,,Park District,Leased,2002-04-16T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
22173,25-25-207-023-0000,,Park District,Leased,2002-01-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
22289,25-25-208-020-0000,,DPD Open Space,Owned by City,2001-10-03T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
23344,25-25-203-002-0000,,DPD Open Space,Owned by City,2001-11-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
23500,25-24-412-006-0000,,Park District,Leased,2001-11-06T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
23534,25-02-117-010-0000,9015 S GREENWOOD AVE,,Sold,1984-08-03T00:00:00.000,2005-02-14T00:00:00.000,,,,3115.0,,,8,47,BURNSIDE,RS-3,60619,09/12/2025,,,,,,,41.73077488676808,-87.59706132553877
23661,25-19-210-004-0000,,,Sold,,2000-09-06T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
23049,25-24-217-014-0000,,Park District,Leased,2002-04-17T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
58475,16-15-101-008-0000,,Obsolete PIN,Owned by City,1972-05-24T00:00:00.000,,,,,,,,,,,,,09/12/2025,,,,,,,,
8297,16-02-332-017-0000,854 N CENTRAL PARK AVE,,Sold,,,,,,0.0,,,27,23,HUMBOLDT PARK,RS-3,60651,09/12/2025,,,,,,,41.89712254327531,-87.7167196395741
58484,16-13-421-006-0000,,2FM,Owned by City,1932-03-23T00:00:00.000,,,,,0.0,,,,,,,60612,09/12/2025,,,,,,,,
58492,16-10-425-036-0000,,Obsolete PIN,Owned by City,1955-07-20T00:00:00.000,,,,,,,,,,,,,09/12/2025,,,,,,,,
58512,16-13-323-008-0000,,Obsolete PIN,Owned by City,1969-04-02T00:00:00.000,,,,,,,,,,,,,09/12/2025,,,,,,,,
7502,11-32-404-005-0000,1043 W ALBION AVE,Park District,Not City Owned,,,,,,0.0,,,49,01,ROGERS PARK,RS-1,60626,09/12/2025,,,,,,,42.00230169925563,-87.65765624604433
7559,13-16-220-025-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
62282,20-33-310-002-0000,,,Owned by City,2017-07-19T00:00:00.000,,Interest,,,0.0,,,,,,,60620,10/02/2025,,,,,,,,
13500,16-24-416-009-0000,2641 W CULLERTON ST,,Sold,1998-12-15T00:00:00.000,2008-08-21T00:00:00.000,,,,2141.0,,,25,30,SOUTH LAWNDALE,RT-4,60608,09/12/2025,,,,,,,41.854506044266415,-87.69220861934015
13097,17-04-308-015-0000,,,Sold,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
13159,16-24-209-042-0000,,,Sold,,,,,,2828.0,,,,,,,0,09/12/2025,,,,,,,,
24200,25-24-216-016-0000,,Park District,Leased,2001-07-16T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
51236,16-13-421-007-0000,,2FM,Owned by City,1937-01-22T00:00:00.000,,,,,0.0,,,,,,,60612,09/12/2025,,,,,,,,
47569,20-16-219-035-0000,,,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
24081,25-24-209-023-0000,,Park District,Leased,2001-12-16T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
24089,25-24-214-008-0000,,Park District,Leased,2001-10-10T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
