raw_row_number,date,time,location,lat,lng,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,type,violation,arrest_made,citation_issued,outcome,raw_race,raw_driver_race
54596,2013-03-21,15:00:00,5700 HARLEM AVE S,NA,NA,44,hispanic,male,f53b537376,NA,white,male,1,vehicular,DRIVING ON SUSPENDED LICENSE,TRUE,NA,arrest,HISPANIC,NA
471147,2013-06-14,10:00:00,6900 BISHOP ST S,41.7685997,-87.6602825,NA,NA,female,NA,NA,white,male,21,vehicular,USING ALLEY AS THRU STREET/VIOL SIGNS,NA,TRUE,citation,NA,NA
594357,2016-09-25,10:00:00,3600 ROOSEVELT RD W,41.866515500000006,-87.7156385,NA,NA,female,NA,NA,hispanic,male,7,vehicular,NO TURN SIGNALS-VIOLATION,NA,TRUE,citation,NA,NA
376107,2012-02-20,20:00:00,2700 GUNNISON ST W,41.96977589999999,-87.69657509999998,NA,NA,male,NA,NA,white,male,11,vehicular,STOP AT STOP SIGN,NA,TRUE,citation,NA,NA
772647,2012-06-15,10:00:00,300 71ST ST E,41.7656347,-87.6184531,NA,NA,male,NA,NA,black,male,13,vehicular,DRIVING WHILE USING CELLULAR PHONE PROHIBITED,NA,TRUE,citation,NA,NA
284262,2016-08-17,22:00:00,1525 59TH ST W,41.7864977,-87.66297089999998,NA,NA,male,NA,NA,hispanic,male,10,vehicular,DRIVING WHILE USING CELLULAR PHONE PROHIBITED,NA,TRUE,citation,NA,NA
96110,2014-02-20,00:00:00,NA,NA,NA,24,white,male,6a3021bd66,NA,white,male,1,vehicular,SPEEDING 26-34 MPH OVER LIMIT,TRUE,NA,arrest,WHITE,NA
581849,2016-01-27,02:00:00,1400 87TH ST E,41.7370898,-87.58985820000001,NA,NA,male,NA,NA,black,male,5,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,TRUE,citation,NA,NA
815633,2015-11-09,20:00:00,3001 95TH ST E,41.7227631,-87.55103869999998,NA,NA,male,NA,NA,white,male,7,vehicular,IVC - CHILD RESTRAINT VIO/CHILD 8/2ND,NA,TRUE,citation,NA,NA
98118,2014-03-05,23:00:00,3337 MADISON ST W,41.8806836,-87.7098484,20,black,female,ca0061c0d0,32,asian/pacific islander,female,8,vehicular,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,TRUE,NA,arrest,BLACK,NA
