"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"878157","386","Ozone (O3)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","2023-06-01T00:00:00.000","33.48798478",
"876876","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","106","High Bridge - Morrisania","Summer 2023","2023-06-01T00:00:00.000","13.96941767",
"878148","386","Ozone (O3)","Mean","ppb","CD","211","Morris Park and Bronxdale (CD11)","Summer 2023","2023-06-01T00:00:00.000","34.34050068",
"878154","386","Ozone (O3)","Mean","ppb","CD","205","Fordham and University Heights (CD5)","Summer 2023","2023-06-01T00:00:00.000","31.7873767",
"874341","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","107","Hunts Point - Mott Haven","Summer 2023","2023-06-01T00:00:00.000","9.515300705",
"878153","386","Ozone (O3)","Mean","ppb","CD","206","Belmont and East Tremont (CD6)","Summer 2023","2023-06-01T00:00:00.000","32.73465101",
"878245","386","Ozone (O3)","Mean","ppb","UHF42","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","32.31051756",
"874605","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","206","Belmont and East Tremont (CD6)","Summer 2023","2023-06-01T00:00:00.000","9.337857894",
"874493","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","201","Mott Haven and Melrose (CD1)","Summer 2023","2023-06-01T00:00:00.000","9.493704165",
"874344","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","106","High Bridge - Morrisania","Summer 2023","2023-06-01T00:00:00.000","9.297253521",
"876867","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","12.47245283",
"876864","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","11.62453778",
"878156","386","Ozone (O3)","Mean","ppb","CD","203","Morrisania and Crotona (CD3)","Summer 2023","2023-06-01T00:00:00.000","32.51779978",
"876879","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","107","Hunts Point - Mott Haven","Summer 2023","2023-06-01T00:00:00.000","14.78510714",
"877137","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","204","Highbridge and Concourse (CD4)","Summer 2023","2023-06-01T00:00:00.000","14.04503059",
"878241","386","Ozone (O3)","Mean","ppb","UHF42","107","Hunts Point - Mott Haven","Summer 2023","2023-06-01T00:00:00.000","33.38337979",
"878252","386","Ozone (O3)","Mean","ppb","Borough","1","Bronx","Summer 2023","2023-06-01T00:00:00.000","33.22314544",
"877131","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","2023-06-01T00:00:00.000","15.26199906",
"877134","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","203","Morrisania and Crotona (CD3)","Summer 2023","2023-06-01T00:00:00.000","13.76011232",
"878203","386","Ozone (O3)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","32.31051756",
"877128","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","201","Mott Haven and Melrose (CD1)","Summer 2023","2023-06-01T00:00:00.000","14.89235269",
"877158","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","211","Morris Park and Bronxdale (CD11)","Summer 2023","2023-06-01T00:00:00.000","11.49641693",
"878243","386","Ozone (O3)","Mean","ppb","UHF42","105","Crotona -Tremont","Summer 2023","2023-06-01T00:00:00.000","32.15024536",
"874416","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","9.237951308",
"876993","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","12.47245283",
"878242","386","Ozone (O3)","Mean","ppb","UHF42","106","High Bridge - Morrisania","Summer 2023","2023-06-01T00:00:00.000","32.13694571",
"874602","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","205","Fordham and University Heights (CD5)","Summer 2023","2023-06-01T00:00:00.000","9.294695775",
"878204","386","Ozone (O3)","Mean","ppb","UHF34","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","33.69362355",
"874347","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","105","Crotona -Tremont","Summer 2023","2023-06-01T00:00:00.000","9.367923944",
"874593","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","2023-06-01T00:00:00.000","9.725961313",
"874356","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","9.237958876",
"874535","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","105106107","South Bronx","Summer 2023","2023-06-01T00:00:00.000","9.409821191",
"874413","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","9.228735232",
"878172","386","Ozone (O3)","Mean","ppb","UHF34","105106107","South Bronx","Summer 2023","2023-06-01T00:00:00.000","32.66163839",
"877140","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","205","Fordham and University Heights (CD5)","Summer 2023","2023-06-01T00:00:00.000","14.12317805",
"874374","365","Fine particles (PM 2.5)","Mean","mcg/m3","Borough","1","Bronx","Summer 2023","2023-06-01T00:00:00.000","9.288327562",
"878246","386","Ozone (O3)","Mean","ppb","UHF42","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","33.69356145",
"876990","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","102","Northeast Bronx","Summer 2023","2023-06-01T00:00:00.000","11.62451231",
"874596","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","203","Morrisania and Crotona (CD3)","Summer 2023","2023-06-01T00:00:00.000","9.377384466",
"877086","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","105106107","South Bronx","Summer 2023","2023-06-01T00:00:00.000","14.34539039",
"876846","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","1","Bronx","Summer 2023","2023-06-01T00:00:00.000","12.81913123",
"878158","386","Ozone (O3)","Mean","ppb","CD","201","Mott Haven and Melrose (CD1)","Summer 2023","2023-06-01T00:00:00.000","32.37118901",
"876873","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","105","Crotona -Tremont","Summer 2023","2023-06-01T00:00:00.000","14.08557751",
"878155","386","Ozone (O3)","Mean","ppb","CD","204","Highbridge and Concourse (CD4)","Summer 2023","2023-06-01T00:00:00.000","31.89345109",
"874353","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","103","Fordham - Bronx Pk","Summer 2023","2023-06-01T00:00:00.000","9.228735232",
"874599","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","204","Highbridge and Concourse (CD4)","Summer 2023","2023-06-01T00:00:00.000","9.2882538",
