"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"878159","386","Ozone (O3)","Mean","ppb","CD","112","Washington Heights and Inwood (CD12)","Summer 2023","2023-06-01T00:00:00.000","29.66140778",
"877176","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","305","East New York and Starrett City (CD5)","Summer 2023","2023-06-01T00:00:00.000","13.52008755",
"874891","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","302","Fort Greene and Brooklyn Heights (CD2)","Summer 2023","2023-06-01T00:00:00.000","9.189253309",
"874855","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","412","Jamaica and Hollis (CD12)","Summer 2023","2023-06-01T00:00:00.000","8.695098537",
"874568","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","405","Ridgewood - Forest Hills","Summer 2023","2023-06-01T00:00:00.000","8.875708042",
"878238","386","Ozone (O3)","Mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2023","2023-06-01T00:00:00.000","36.15812507",
"874514","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","106","Stuyvesant Town and Turtle Bay (CD6)","Summer 2023","2023-06-01T00:00:00.000","9.340237988",
"878157","386","Ozone (O3)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","2023-06-01T00:00:00.000","33.48798478",
"877047","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","402","West Queens","Summer 2023","2023-06-01T00:00:00.000","15.07775098",
"874571","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","403","Flushing - Clearview","Summer 2023","2023-06-01T00:00:00.000","8.899227558",
"878191","386","Ozone (O3)","Mean","ppb","UHF34","211","Williamsburg - Bushwick","Summer 2023","2023-06-01T00:00:00.000","35.49941831",
"878133","386","Ozone (O3)","Mean","ppb","CD","403","Jackson Heights (CD3)","Summer 2023","2023-06-01T00:00:00.000","34.54442893",
"878212","386","Ozone (O3)","Mean","ppb","UHF42","408","Jamaica","Summer 2023","2023-06-01T00:00:00.000","37.42089146",
"878171","386","Ozone (O3)","Mean","ppb","Citywide","1","New York City","Summer 2023","2023-06-01T00:00:00.000","35.53951634",
"877038","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","303","East Harlem","Summer 2023","2023-06-01T00:00:00.000","13.82754858",
"874473","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","307","Gramercy Park - Murray Hill","Summer 2023","2023-06-01T00:00:00.000","9.463103294",
