NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 27.03; Dallas County; Texas,29124,843,1195,48,113,002703
Census Tract 31.02; Dallas County; Texas,104844,511,615,48,113,003102
Census Tract 31.03; Dallas County; Texas,76103,153,1800,48,113,003103
Census Tract 37; Dallas County; Texas,78490,741,479,48,113,003700
Census Tract 42.01; Dallas County; Texas,73234,1002,898,48,113,004201
Census Tract 42.02; Dallas County; Texas,120208,562,403,48,113,004202
Census Tract 43; Dallas County; Texas,74557,633,2609,48,113,004300
Census Tract 44; Dallas County; Texas,124440,1262,417,48,113,004400
Census Tract 45; Dallas County; Texas,63500,1164,714,48,113,004500
Census Tract 46; Dallas County; Texas,82727,362,430,48,113,004600
Census Tract 47; Dallas County; Texas,82917,348,622,48,113,004700
Census Tract 48; Dallas County; Texas,51406,262,560,48,113,004800
Census Tract 50; Dallas County; Texas,51330,815,305,48,113,005000
