NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 1; Dallas County; Texas,178472,1208,590,48,113,000100
Census Tract 2.01; Dallas County; Texas,195000,996,258,48,113,000201
Census Tract 2.02; Dallas County; Texas,147708,904,826,48,113,000202
Census Tract 3; Dallas County; Texas,100409,1040,1075,48,113,000300
Census Tract 4.01; Dallas County; Texas,58232,183,1918,48,113,000401
Census Tract 4.05; Dallas County; Texas,45300,138,1176,48,113,000405
Census Tract 4.07; Dallas County; Texas,58934,230,837,48,113,000407
Census Tract 4.08; Dallas County; Texas,71723,632,853,48,113,000408
Census Tract 4.09; Dallas County; Texas,69398,152,2690,48,113,000409
Census Tract 4.10; Dallas County; Texas,44936,1132,334,48,113,000410
Census Tract 5.01; Dallas County; Texas,83842,111,1367,48,113,000501
Census Tract 5.02; Dallas County; Texas,119261,520,1011,48,113,000502
Census Tract 5.03; Dallas County; Texas,77750,149,1377,48,113,000503
Census Tract 6.05; Dallas County; Texas,109707,821,766,48,113,000605
Census Tract 6.06; Dallas County; Texas,136250,1262,495,48,113,000606
Census Tract 6.07; Dallas County; Texas,115972,603,628,48,113,000607
Census Tract 6.08; Dallas County; Texas,119044,1007,661,48,113,000608
Census Tract 6.09; Dallas County; Texas,91250,440,594,48,113,000609
Census Tract 6.10; Dallas County; Texas,47210,27,1003,48,113,000610
Census Tract 6.11; Dallas County; Texas,71020,312,1057,48,113,000611
Census Tract 7.03; Dallas County; Texas,116250,790,1209,48,113,000703
Census Tract 7.04; Dallas County; Texas,134531,28,2272,48,113,000704
Census Tract 7.05; Dallas County; Texas,124250,481,1001,48,113,000705
Census Tract 7.06; Dallas County; Texas,130206,46,1552,48,113,000706
Census Tract 8.01; Dallas County; Texas,74670,526,1179,48,113,000801
Census Tract 8.02; Dallas County; Texas,79415,162,1609,48,113,000802
Census Tract 9.01; Dallas County; Texas,114699,415,1173,48,113,000901
Census Tract 9.02; Dallas County; Texas,82773,362,1258,48,113,000902
Census Tract 10.01; Dallas County; Texas,150688,395,450,48,113,001001
Census Tract 10.02; Dallas County; Texas,128000,573,433,48,113,001002
Census Tract 11.01; Dallas County; Texas,156724,1113,839,48,113,001101
Census Tract 11.02; Dallas County; Texas,163813,880,369,48,113,001102
Census Tract 12.02; Dallas County; Texas,73462,489,1443,48,113,001202
Census Tract 12.03; Dallas County; Texas,144375,420,52,48,113,001203
Census Tract 12.04; Dallas County; Texas,62782,350,312,48,113,001204
Census Tract 13.01; Dallas County; Texas,93398,601,870,48,113,001301
Census Tract 13.02; Dallas County; Texas,72031,390,800,48,113,001302
Census Tract 14; Dallas County; Texas,67500,451,1083,48,113,001400
Census Tract 15.02; Dallas County; Texas,49663,177,1061,48,113,001502
Census Tract 15.03; Dallas County; Texas,50662,183,1098,48,113,001503
