store_name,license_id,account_number,square_feet,buffer_size,address,zip_code,community_area_name,community_area,ward,census_tract,census_block,x_coordinate,y_coordinate,latitude,longitude,location
A & B FOOD MARKET INC,43181,6483,10001,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170312511004000,1142184.0432471954,1907473.3799980525,41.9021664421,-87.7531823487,"(41.9021664421, -87.7531823487)"
ADAMS FOOD MART,1817376,316090,2500,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170312516003011,1141632.2601337098,1903412.6519004565,41.8910335471,-87.7553096457,"(41.8910335471, -87.7553096457)"
ALDI INC STORE 14,1242812,5273,15000,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,170318314002056,1138888.1602307956,1894751.1917158663,41.8673156479,-87.7655979430,"(41.8673156479, -87.765597943)"
B & H FOOD & GROCERY,6068,3550,4500,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,170318373001010,1155850.7566169042,1896704.1485966310,41.8723500430,-87.7032726418,"(41.872350043, -87.7032726418)"
BOB'S LIQUORS & GROCERIES,957,86492,10001,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000,1142425.3265431207,1899505.1138985374,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
FOOD 4 LESS,1884255,251246,58000,A,4821 W NORTH AVE,60639,AUSTIN,25,37,17031250800,170312508001000,1143859.6919038594,1910159.1206884224,41.9095051477,-87.7469599363,"(41.9095051477, -87.7469599363)"
LAWNDALE FOOD MARKET,39529,15829,6000,B,3705 W 16TH ST,60623,NORTH LAWNDALE,29,24,17031292200,170312922003000,1151911.1391990148,1891750.0843996857,41.8588339683,-87.7178671863,"(41.8588339683, -87.7178671863)"
MARIO 'S BUTCHER SHOP FD CNTR,4248,85432,10001,A,5817 W MADISON ST,60644,AUSTIN,25,29,17031252101,170312521011003,1137524.3342756745,1899380.9512429307,41.8800449808,-87.7704933793,"(41.8800449808, -87.7704933793)"
MA'S & PA'S GROCERY SNACK SHOP,7302,3806,4500,B,804 S CALIFORNIA AVE,60612,EAST GARFIELD PARK,27,2,17031271800,170312718001017,1157790.0432509081,1896181.8948431034,41.8708776439,-87.6961668842,"(41.8708776439, -87.6961668842)"
MOO & OINK INC,11915,5928,21500,A,4848 W MADISON ST,60644,AUSTIN,25,28,17031251800,170312518004015,1143906.3902417778,1899620.0616423807,41.8805838854,-87.7470529414,"(41.8805838854, -87.7470529414)"
NEW POP-IN,1719179,306063,8784,B,413 S KEDZIE AVE,60612,EAST GARFIELD PARK,27,28,17031271200,170312712001033,1155148.6782666573,1897819.1171161386,41.8754237451,-87.7058203625,"(41.8754237451, -87.7058203625)"
NORTHWEST FOOD & LIQUOR,1119636,209419,3180,B,5170 W NORTH AVE,60639,AUSTIN,25,37,17031250200,170312502001025,1141540.8222337650,1910183.3773895188,41.9096148952,-87.7554779679,"(41.9096148952, -87.7554779679)"
OHIO FOOD MART,1225367,243092,3500,B,5345 W OHIO ST,60644,AUSTIN,25,37,17031251500,170312515002004,1140427.8862632848,1903410.3057540525,41.8910492873,-87.7597328373,"(41.8910492873, -87.7597328373)"
RITE PRICE FOOD,1198136,222688,3600,B,5606 W DIVISION ST,60651,AUSTIN,25,29,17031250600,170312506002013,1138707.8484910156,1907480.8314437733,41.9022506897,-87.7659509238,"(41.9022506897, -87.7659509238)"
SAVE-A-LOT   #856,1222884,216203,12000,A,5555 W NORTH AVE,60639,AUSTIN,25,37,17031250700,170312507004001,1138898.6455569188,1910041.7056745514,41.9092745667,-87.7651877850,"(41.9092745667, -87.765187785)"
SAVE-A-LOT # 866,1299911,216203,,A,3939 W OGDEN AVE,60623,NORTH LAWNDALE,29,22,17031843400,170318000000000,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.72385084)"
SERRELLI'S FOODS,6981,62794,4000,B,6454 W NORTH AVE,60707,AUSTIN,25,36,17031250500,170312505002029,1132926.4011502701,1909986.6324811890,41.9092298950,-87.7871288207,"(41.909229895, -87.7871288207)"
SOLID GOLD,1490386,203033,3300,B,3821 W ROOSEVELT RD,60624,NORTH LAWNDALE,29,24,17031838700,170318387001005,1151058.5080878930,1894398.9495206943,41.8661194940,-87.7209275740,"(41.866119494, -87.720927574)"
SUPER JIM'S,37540,33441,4500,B,5147 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170312511004002,1141624.1020559527,1907462.5959686877,41.9021472222,-87.7552393884,"(41.9021472222, -87.7552393884)"
"WAY LOW DISCOUNT FOOD, INC.",41036,16053,2500,B,1551 S KEDZIE AVE,60623,NORTH LAWNDALE,29,24,17031843100,170318431001029,1155321.4225621962,1892143.5663288000,41.8598459614,-87.7053385540,"(41.8598459614, -87.705338554)"
WINDY CITY INC,24289,9833,4225,B,324 S CICERO AVE,60644,AUSTIN,25,24,17031252202,170312522025003,1144408.8929469842,1897932.7840747123,41.8759443554,-87.7452502275,"(41.8759443554, -87.7452502275)"
