NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 101, Cook County, Illinois",69460,2190,689,1501,2841,651,17,031,010100
"Census Tract 102.01, Cook County, Illinois",49639,3038,823,2215,3276,238,17,031,010201
"Census Tract 102.02, Cook County, Illinois",55119,1130,270,860,1303,173,17,031,010202
"Census Tract 103, Cook County, Illinois",65871,3185,859,2326,3377,192,17,031,010300
"Census Tract 104, Cook County, Illinois",49017,2058,513,1545,2460,402,17,031,010400
"Census Tract 105.01, Cook County, Illinois",48250,2379,341,2038,2705,326,17,031,010501
"Census Tract 105.02, Cook County, Illinois",61367,1637,469,1168,1807,170,17,031,010502
"Census Tract 105.03, Cook County, Illinois",21924,1477,177,1300,1570,93,17,031,010503
"Census Tract 106, Cook County, Illinois",71920,3066,1094,1972,3176,110,17,031,010600
"Census Tract 107.01, Cook County, Illinois",74208,1652,820,832,1753,101,17,031,010701
"Census Tract 107.02, Cook County, Illinois",58289,1998,396,1602,2172,174,17,031,010702
"Census Tract 201, Cook County, Illinois",69850,1644,585,1059,1739,95,17,031,020100
"Census Tract 202, Cook County, Illinois",115559,1999,1530,469,2181,182,17,031,020200
"Census Tract 203.01, Cook County, Illinois",76327,2093,1569,524,2233,140,17,031,020301
"Census Tract 203.02, Cook County, Illinois",81563,1711,1065,646,1845,134,17,031,020302
"Census Tract 204, Cook County, Illinois",81840,1707,797,910,1875,168,17,031,020400
"Census Tract 205, Cook County, Illinois",46458,2184,682,1502,2487,303,17,031,020500
"Census Tract 206.01, Cook County, Illinois",62015,2052,947,1105,2296,244,17,031,020601
"Census Tract 206.02, Cook County, Illinois",87804,1611,918,693,1775,164,17,031,020602
"Census Tract 207.01, Cook County, Illinois",101250,748,535,213,835,87,17,031,020701
"Census Tract 207.02, Cook County, Illinois",76812,2487,1115,1372,2591,104,17,031,020702
"Census Tract 208.01, Cook County, Illinois",73151,2164,944,1220,2339,175,17,031,020801
"Census Tract 208.02, Cook County, Illinois",70044,2125,698,1427,2298,173,17,031,020802
"Census Tract 209.01, Cook County, Illinois",52378,2212,834,1378,2456,244,17,031,020901
"Census Tract 209.02, Cook County, Illinois",47963,1564,753,811,1722,158,17,031,020902
"Census Tract 301.01, Cook County, Illinois",49132,2162,687,1475,2456,294,17,031,030101
"Census Tract 301.02, Cook County, Illinois",59622,1989,811,1178,2199,210,17,031,030102
"Census Tract 301.03, Cook County, Illinois",55651,1091,299,792,1179,88,17,031,030103
"Census Tract 301.04, Cook County, Illinois",47330,1043,387,656,1207,164,17,031,030104
"Census Tract 302, Cook County, Illinois",103758,2533,1352,1181,2770,237,17,031,030200
"Census Tract 303, Cook County, Illinois",67143,1470,529,941,1506,36,17,031,030300
"Census Tract 304, Cook County, Illinois",97442,1354,448,906,1403,49,17,031,030400
"Census Tract 305, Cook County, Illinois",123464,3021,1631,1390,3245,224,17,031,030500
"Census Tract 306.01, Cook County, Illinois",51136,1908,525,1383,2107,199,17,031,030601
"Census Tract 306.03, Cook County, Illinois",54415,1342,154,1188,1527,185,17,031,030603
"Census Tract 306.04, Cook County, Illinois",51032,2058,526,1532,2437,379,17,031,030604
"Census Tract 307.01, Cook County, Illinois",51625,894,191,703,966,72,17,031,030701
"Census Tract 307.02, Cook County, Illinois",60133,1551,938,613,1667,116,17,031,030702
"Census Tract 307.03, Cook County, Illinois",68861,1885,525,1360,2057,172,17,031,030703
"Census Tract 307.06, Cook County, Illinois",50431,1918,713,1205,2118,200,17,031,030706
"Census Tract 308, Cook County, Illinois",96719,2190,913,1277,2386,196,17,031,030800
"Census Tract 309, Cook County, Illinois",97375,1576,664,912,1729,153,17,031,030900
