geoid,intptlat,intptlon,aland_sqm,awater_sqm
17031010100,+42.0212553,-087.6698301,379511,0
17031010201,+42.0160077,-087.6801484,504464,0
17031010202,+42.0160476,-087.6733256,351253,0
17031010300,+42.0159431,-087.6665393,472522,0
17031010400,+42.0064109,-087.6588157,548761,602605
17031010501,+42.0094119,-087.6639583,202133,0
17031010502,+42.0045173,-087.6633273,180386,0
17031010503,+42.0003207,-087.6631262,194213,0
17031010600,+42.0062774,-087.6676830,495017,0
17031010701,+42.0091482,-087.6786204,429690,0
17031010702,+42.0090199,-087.6727257,357548,0
17031020100,+42.0157210,-087.6871169,411155,0
17031020200,+42.0156903,-087.6995191,1241961,0
17031020301,+42.0068651,-087.7051865,825541,0
17031020302,+42.0085406,-087.6949634,639920,0
17031020400,+42.0084880,-087.6859118,555577,0
17031020500,+42.0013129,-087.6841982,771659,0
17031020601,+42.0008746,-087.7018025,591329,0
17031020602,+42.0013156,-087.6936373,492027,0
17031020701,+41.9868915,-087.7036897,591396,0
17031020702,+41.9941256,-087.7048939,704323,0
17031020801,+41.9868081,-087.6944149,655953,0
17031020802,+41.9940592,-087.6946306,644017,0
17031020901,+41.9943922,-087.6854736,485422,2818
17031020902,+41.9942585,-087.6786841,501886,0
17031030101,+41.9910538,-087.6548790,127283,110999
17031030102,+41.9930264,-087.6550225,113330,87128
17031030103,+41.9955241,-087.6551527,86631,101282
17031030104,+41.9972773,-087.6559864,110578,70440
17031030200,+41.9944414,-087.6652300,666198,0
17031030300,+41.9943875,-087.6725348,314151,0
17031030400,+41.9869515,-087.6720788,346486,0
17031030500,+41.9872260,-087.6649359,618133,0
17031030601,+41.9889716,-087.6546087,149770,98467
17031030603,+41.9854762,-087.6583979,116000,0
17031030604,+41.9858707,-087.6524546,198590,89530
17031030701,+41.9827453,-087.6579659,69878,0
17031030702,+41.9808148,-087.6545286,22158,0
17031030703,+41.9788749,-087.6578708,198290,0
17031030706,+41.9804151,-087.6509155,392423,175618
17031030800,+41.9799123,-087.6641880,567414,0
17031030900,+41.9797951,-087.6714454,408716,0
17031031000,+41.9724370,-087.6711094,424897,0
17031031100,+41.9726684,-087.6638662,549965,0
17031031200,+41.9727092,-087.6573410,326475,0
17031031300,+41.9737646,-087.6465298,632210,466785
17031031400,+41.9584475,-087.6424095,1489274,1040213
17031031501,+41.9672886,-087.6524343,159412,0
17031031502,+41.9636326,-087.6523656,161705,0
17031031700,+41.9654466,-087.6631954,477478,0
17031031800,+41.9670114,-087.6706209,235150,0
17031031900,+41.9633740,-087.6701841,257670,0
17031032100,+41.9581538,-087.6530179,431028,0
17031040100,+41.9856223,-087.6828856,1972508,29163
17031040201,+41.9725804,-087.6940005,721413,0
17031040202,+41.9798549,-087.6940960,588657,0
17031040300,+41.9769437,-087.7019832,752564,14886
17031040401,+41.9720667,-087.6860816,385796,0
17031040402,+41.9725450,-087.6788181,602581,0
17031040600,+41.9668338,-087.6840180,331259,0
17031040700,+41.9674314,-087.6940682,342084,15337
17031040800,+41.9639740,-087.6918213,217717,11487
17031040900,+41.9631847,-087.6838544,321853,0
17031050100,+41.9578451,-087.6763730,334634,0
17031050200,+41.9577405,-087.6837168,652253,0
17031050300,+41.9578851,-087.6904442,380031,14700
17031050500,+41.9504474,-087.6835073,652578,0
17031050600,+41.9505477,-087.6761824,332314,0
17031050700,+41.9450710,-087.6760595,164326,0
17031050800,+41.9450095,-087.6809279,162818,0
17031050900,+41.9449466,-087.6857780,162724,0
17031051000,+41.9413024,-087.6857317,166636,0
17031051100,+41.9413652,-087.6808266,162702,0
17031051200,+41.9414224,-087.6759536,164547,0
17031051300,+41.9359971,-087.6758395,322113,0
17031051400,+41.9354420,-087.6809594,346283,12601
17031060100,+41.9575311,-087.6666112,325545,0
17031060200,+41.9579036,-087.6715175,318279,0
17031060300,+41.9506049,-087.6713327,319839,0
17031060400,+41.9506731,-087.6665364,325029,0
17031060500,+41.9527200,-087.6605008,228276,0
17031060800,+41.9539590,-087.6426489,181490,65882
17031060900,+41.9515166,-087.6417784,499066,404435
17031061000,+41.9492206,-087.6519703,172816,0
17031061100,+41.9491398,-087.6568035,173036,0
17031061200,+41.9490599,-087.6616427,174670,0
17031061500,+41.9452818,-087.6615447,162913,0
17031061800,+41.9464901,-087.6471147,82769,0
17031061901,+41.9432305,-087.6434679,160305,0
17031061902,+41.9466985,-087.6390645,276415,585774
17031062000,+41.9425769,-087.6470786,224975,0
17031062100,+41.9426914,-087.6517704,244805,0
17031062200,+41.9425847,-087.6566440,242322,0
17031062300,+41.9416278,-087.6614432,163311,0
17031062400,+41.9415556,-087.6662882,162936,0
17031062500,+41.9414880,-087.6711073,161003,0
17031062600,+41.9359751,-087.6709843,330016,0
17031062700,+41.9360862,-087.6661103,325098,0
17031062800,+41.9361586,-087.6612648,325611,0
17031062900,+41.9362370,-087.6564113,325740,0
17031063000,+41.9363102,-087.6515617,324351,0
17031063100,+41.9382319,-087.6467799,159625,0
17031063200,+41.9389231,-087.6346726,366779,397543
17031063301,+41.9345407,-087.6430239,93843,0
17031063302,+41.9347647,-087.6398540,121199,0
17031063303,+41.9347312,-087.6346613,236591,0
17031063400,+41.9346596,-087.6467300,158852,0
17031070101,+41.9295225,-087.6323247,532229,665646
17031070102,+41.9305828,-087.6422020,124699,0
17031070103,+41.9268110,-087.6426051,69094,0
17031070200,+41.9290777,-087.6462930,341404,0
17031070300,+41.9290462,-087.6513103,324411,0
17031070400,+41.9289672,-087.6561563,324362,0
17031070500,+41.9289455,-087.6608922,305415,0
17031070600,+41.9287627,-087.6656766,343156,0
17031070700,+41.9306521,-087.6741038,646549,39577
17031071000,+41.9217011,-087.6559114,324639,0
17031071100,+41.9217778,-087.6510614,325455,0
17031071200,+41.9218547,-087.6462106,325200,0
17031071300,+41.9217794,-087.6414578,309582,0
17031071400,+41.9227255,-087.6295259,640573,683301
17031071500,+41.9142415,-087.6250923,895866,723071
17031071600,+41.9164722,-087.6411823,162169,0
17031071700,+41.9128666,-087.6410717,159952,0
17031071800,+41.9145855,-087.6459660,323370,0
17031080100,+41.9075487,-087.6267900,265446,0
17031080201,+41.9094976,-087.6310051,135375,0
17031080202,+41.9058589,-087.6309010,155240,0
17031080300,+41.9074899,-087.6357987,361504,0
17031080400,+41.9074123,-087.6409015,327241,0
17031081000,+41.9002655,-087.6321089,298829,0
17031081100,+41.9002211,-087.6291049,102996,0
17031081201,+41.8991538,-087.6262120,185124,0
17031081202,+41.9043769,-087.6242374,204321,530065
17031081300,+41.8983354,-087.6207531,202656,0
17031081401,+41.8950347,-087.6197175,281790,0
17031081402,+41.8910215,-087.6129310,589626,0
17031081403,+41.8929908,-087.6209560,331289,1429583
17031081500,+41.8929064,-087.6260787,284635,11173
17031081600,+41.8920572,-087.6288708,128834,3966
17031081700,+41.8922185,-087.6318316,359199,12366
17031081800,+41.8933243,-087.6391895,701139,44573
17031081900,+41.8979900,-087.6414870,137297,0
17031090100,+42.0152552,-087.8135872,933427,0
17031090200,+42.0055940,-087.8130961,1529762,0
17031090300,+41.9991127,-087.8163644,475842,0
17031100100,+41.9895840,-087.7830136,1182384,0
17031100200,+41.9957734,-087.7942589,2060321,0
17031100300,+41.9887330,-087.8042597,2330582,0
17031100400,+41.9889687,-087.8180411,971799,0
17031100500,+41.9780453,-087.8197314,1962095,0
17031100600,+41.9792049,-087.7974007,1282466,0
17031100700,+41.9721235,-087.7976295,1215251,0
17031110100,+41.9874756,-087.7696729,1844325,0
17031110200,+41.9800699,-087.7734442,596253,0
17031110300,+41.9752907,-087.7832349,1210672,0
17031110400,+41.9729536,-087.7726114,933971,0
17031110501,+41.9770023,-087.7619249,791607,0
17031110502,+41.9702865,-087.7598523,649329,0
17031120100,+42.0019817,-087.7750065,2789745,0
17031120200,+41.9945319,-087.7576108,2394584,0
17031120300,+41.9911122,-087.7400660,2055073,0
17031120400,+41.9772354,-087.7521624,1064697,0
17031130100,+41.9911040,-087.7208089,1839635,0
17031130200,+41.9818378,-087.7375733,2075998,3028
17031130300,+41.9865589,-087.7133915,721103,0
17031140100,+41.9712014,-087.7058050,282494,5489
17031140200,+41.9706949,-087.7130043,394455,0
17031140301,+41.9692055,-087.7231695,164129,0
17031140302,+41.9724938,-087.7237561,414720,0
17031140400,+41.9715371,-087.7389429,1181559,0
17031140500,+41.9653619,-087.7318319,452821,0
17031140601,+41.9646471,-087.7258909,272123,0
17031140602,+41.9646520,-087.7210166,384380,0
17031140701,+41.9670375,-087.7126524,228328,0
17031140702,+41.9635482,-087.7135753,427095,0
17031140800,+41.9645144,-087.7028469,714365,11508
17031150200,+41.9606747,-087.7524131,1326781,0
17031150300,+41.9605179,-087.7622859,1326511,0
17031150401,+41.9645676,-087.7722648,738022,0
17031150402,+41.9567979,-087.7720436,662508,0
17031150501,+41.9644762,-087.7819639,698792,0
17031150502,+41.9567784,-087.7818414,684583,0
17031150600,+41.9494731,-087.7717578,656191,0
17031150700,+41.9495915,-087.7619580,662396,0
17031150800,+41.9497086,-087.7521182,661051,0
17031151001,+41.9423826,-087.7543527,330135,0
17031151002,+41.9424917,-087.7471554,637151,0
17031151100,+41.9422903,-087.7617175,660846,0
17031151200,+41.9421690,-087.7714953,655584,0
17031160100,+41.9646282,-087.7427956,593631,0
17031160200,+41.9587931,-087.7383981,956887,0
17031160300,+41.9572681,-087.7308958,426178,0
17031160400,+41.9573657,-087.7228238,657332,0
17031160501,+41.9592098,-087.7129732,345248,0
17031160502,+41.9555841,-087.7130876,310887,0
17031160601,+41.9593980,-087.7032936,328030,0
17031160602,+41.9566814,-087.7004635,570721,16735
17031160700,+41.9512177,-087.7021347,773893,16585
17031160800,+41.9502131,-087.7128146,657623,0
17031160900,+41.9500821,-087.7226082,657733,0
17031161000,+41.9499766,-087.7306829,426503,0
17031161100,+41.9498800,-087.7381550,576830,0
17031161200,+41.9425489,-087.7385701,517850,0
17031161300,+41.9426994,-087.7310023,497602,0
17031170100,+41.9558596,-087.7948168,1014644,0
17031170200,+41.9493528,-087.7815188,653046,0
17031170300,+41.9491248,-087.7968278,1398898,0
17031170400,+41.9489081,-087.8127107,769031,0
17031170500,+41.9500779,-087.8288957,1539539,0
17031170600,+41.9412943,-087.8307016,566548,0
17031170700,+41.9414866,-087.8221640,579654,0
17031170800,+41.9415761,-087.8123713,730334,0
17031170900,+41.9361958,-087.8116057,320579,0
17031171000,+41.9418072,-087.7965238,1393039,0
17031171100,+41.9420528,-087.7812865,666147,0
17031180100,+41.9344851,-087.7986317,1068354,0
17031190100,+41.9352176,-087.7443889,316148,0
17031190200,+41.9351136,-087.7516489,660108,0
17031190300,+41.9349864,-087.7614635,660302,0
17031190401,+41.9347276,-087.7809524,655475,0
17031190402,+41.9348596,-087.7712318,653980,0
17031190601,+41.9274146,-087.7804606,690034,0
17031190602,+41.9275604,-087.7707371,621354,0
17031190701,+41.9297959,-087.7614217,277868,0
17031190702,+41.9261631,-087.7610395,383493,0
17031190800,+41.9278186,-087.7513624,661317,0
17031190900,+41.9279225,-087.7441048,314637,0
17031191000,+41.9192297,-087.7438010,434313,0
17031191100,+41.9196293,-087.7509763,822433,0
17031191200,+41.9201432,-087.7608269,705577,0
17031191301,+41.9201522,-087.7802655,674995,0
17031191302,+41.9202289,-087.7705334,631185,0
17031200100,+41.9350552,-087.7376226,584862,0
17031200200,+41.9278523,-087.7356282,818684,0
17031200300,+41.9234806,-087.7341264,250668,0
17031200401,+41.9198285,-087.7375419,402815,0
17031200402,+41.9196348,-087.7296789,386205,0
17031210100,+41.9446487,-087.7005716,836118,17979
17031210400,+41.9357450,-087.7303057,421549,0
17031210501,+41.9374013,-087.7223301,313076,0
17031210502,+41.9337846,-087.7220524,345944,0
17031210601,+41.9376356,-087.7122140,273651,0
17031210602,+41.9341630,-087.7125720,381387,0
17031210700,+41.9357029,-087.7038401,497304,0
17031210800,+41.9357455,-087.6989334,162930,0
17031210900,+41.9348372,-087.6931182,555364,15204
17031220300,+41.9284647,-087.6950863,326095,0
17031220400,+41.9284314,-087.6999684,329548,0
17031220500,+41.9283343,-087.7049877,345392,0
17031220601,+41.9258252,-087.7128836,189121,0
17031220602,+41.9293960,-087.7120860,453640,0
17031220701,+41.9261554,-087.7215651,266386,0
17031220702,+41.9293687,-087.7242313,575196,0
17031220901,+41.9191816,-087.7212483,293288,0
17031220902,+41.9227112,-087.7218357,330304,0
17031221000,+41.9209604,-087.7152526,220053,0
17031221100,+41.9210205,-087.7103609,440042,0
17031221200,+41.9210831,-087.7046499,330421,0
17031221300,+41.9211256,-087.6997541,330104,0
17031221400,+41.9208013,-087.6945320,355032,0
17031221500,+41.9216468,-087.6899513,304903,0
17031221600,+41.9212478,-087.6850971,327758,0
17031222200,+41.9159095,-087.6838262,231074,0
17031222500,+41.9156825,-087.6995874,160675,0
17031222600,+41.9156388,-087.7044798,160604,0
17031222700,+41.9155009,-087.7102058,224935,0
17031222800,+41.9154349,-087.7150953,111384,0
17031222900,+41.9155644,-087.7200744,218387,0
17031230100,+41.9120080,-087.7043655,166340,0
17031230200,+41.9118688,-087.7100844,214283,0
17031230300,+41.9117866,-087.7149884,106483,0
17031230400,+41.9118202,-087.7215519,338511,0
17031230500,+41.9116892,-087.7339434,526593,0
17031230600,+41.9061550,-087.7339986,1010886,0
17031230700,+41.9063229,-087.7215397,647089,0
17031230800,+41.9058396,-087.7149530,204403,0
17031230900,+41.9066918,-087.7103505,451725,0
17031231100,+41.8992542,-087.7150684,176381,0
17031231200,+41.8990614,-087.7213153,656674,0
17031231500,+41.8917357,-087.7186525,999706,0
17031240200,+41.9124417,-087.6701816,166088,0
17031240300,+41.9123693,-087.6750677,166319,0
17031240500,+41.9119683,-087.6836267,233803,0
17031240600,+41.9121341,-087.6897111,165380,0
17031240700,+41.9120878,-087.6945986,165872,0
17031240800,+41.9120483,-087.6994876,166576,0
17031240900,+41.9048448,-087.6986233,958058,42315
17031241000,+41.9079686,-087.6945342,207513,0
17031241100,+41.9066403,-087.6895801,330813,0
17031241200,+41.9067070,-087.6846857,328117,0
17031241300,+41.9067716,-087.6810250,164085,0
17031241400,+41.9060312,-087.6753137,518625,0
17031241500,+41.9083740,-087.6709298,302473,0
17031241600,+41.9067097,-087.6653277,293931,0
17031242000,+41.8997371,-087.6649536,326757,0
17031242100,+41.8996698,-087.6698375,327980,0
17031242200,+41.8995893,-087.6747188,326986,0
17031242300,+41.8995065,-087.6796003,328316,0
17031242400,+41.8994219,-087.6844900,328052,0
17031242500,+41.8994455,-087.6893191,309814,0
17031242600,+41.9005600,-087.6941970,475743,0
17031242700,+41.8974254,-087.6993742,175572,0
17031242800,+41.8926320,-087.6903237,439630,0
17031242900,+41.8921955,-087.6842896,323819,0
17031243000,+41.8922753,-087.6793981,324547,0
17031243100,+41.8923546,-087.6745068,324004,0
17031243200,+41.8924327,-087.6696238,323850,0
17031243300,+41.8924781,-087.6647388,327093,0
17031243400,+41.8925660,-087.6598540,328390,0
17031243500,+41.8926494,-087.6525227,657987,0
17031250200,+41.9123508,-087.7510730,499204,0
17031250300,+41.9128483,-087.7608528,618881,0
17031250400,+41.9129050,-087.7754058,1308325,0
17031250500,+41.9146180,-087.7967960,2061581,0
17031250600,+41.9056935,-087.7706303,647765,0
17031250700,+41.9058206,-087.7608128,662318,0
17031250800,+41.9061855,-087.7514741,574711,0
17031251000,+41.8986945,-087.7448924,466955,0
17031251100,+41.8986248,-087.7520112,496455,0
17031251200,+41.8985491,-087.7606040,662289,0
17031251300,+41.8984251,-087.7703849,653465,0
17031251400,+41.8909574,-087.7701248,688028,0
17031251500,+41.8911035,-087.7603538,683926,0
17031251600,+41.8914065,-087.7518037,480786,0
17031251700,+41.8913844,-087.7444793,486655,0
17031251800,+41.8841436,-087.7478885,997741,0
17031251900,+41.8838116,-087.7600945,632452,0
17031252000,+41.8836759,-087.7698798,624594,0
17031252101,+41.8738812,-087.7698552,827450,24575
17031252102,+41.8765990,-087.7598276,670761,0
17031252201,+41.8766958,-087.7521051,386790,0
17031252202,+41.8767584,-087.7445832,637446,0
17031260100,+41.8843707,-087.7233302,325451,0
17031260200,+41.8843243,-087.7282302,328451,0
17031260300,+41.8842766,-087.7331362,329187,0
17031260400,+41.8842145,-087.7380411,328225,0
17031260500,+41.8766639,-087.7377282,337553,0
17031260600,+41.8771076,-087.7328670,318825,0
17031260700,+41.8770565,-087.7279962,329201,0
17031260800,+41.8770848,-087.7230964,328945,0
17031260900,+41.8710297,-087.7228141,228195,0
17031261000,+41.8713379,-087.7320094,499037,0
17031270500,+41.8762402,-087.7177932,561347,0
17031271200,+41.8773597,-087.7035621,329808,0
17031271300,+41.8773040,-087.7084528,327413,0
17031271400,+41.8772429,-087.7133314,328376,0
17031271500,+41.8717861,-087.7131559,162821,0
17031271800,+41.8714964,-087.6984897,205986,0
17031280100,+41.8854520,-087.6434977,581716,29634
17031280400,+41.8860094,-087.6718846,502194,0
17031280800,+41.8785967,-087.6889009,237357,0
17031280900,+41.8786261,-087.6851324,114689,0
17031281900,+41.8786346,-087.6429236,421030,17458
17031282700,+41.8713668,-087.6886812,439297,0
17031282800,+41.8702683,-087.6849136,164404,0
17031283100,+41.8692741,-087.6640920,216513,0
17031283200,+41.8695790,-087.6592023,236547,0
17031283800,+41.8634168,-087.6537547,376238,0
17031290900,+41.8624103,-087.7324567,996496,0
17031291200,+41.8626611,-087.7128746,329138,0
17031291600,+41.8576415,-087.6922159,220340,0
17031292200,+41.8566665,-087.7157306,394160,0
17031292400,+41.8552397,-087.7223992,330658,0
17031292500,+41.8551613,-087.7322428,982499,0
17031300500,+41.8474251,-087.7219393,271031,0
17031300600,+41.8479904,-087.7173343,328182,0
17031300700,+41.8480720,-087.7124504,329127,0
17031300800,+41.8481108,-087.7075818,325846,0
17031300900,+41.8481796,-087.7026993,327299,0
17031301100,+41.8470290,-087.6979734,211425,0
17031301200,+41.8484171,-087.6914771,482205,0
17031301600,+41.8407572,-087.7122520,329517,0
17031301701,+41.8424805,-087.7196254,330773,0
17031301702,+41.8388062,-087.7195244,330989,0
17031301801,+41.8416597,-087.7350509,694937,0
17031301802,+41.8451846,-087.7277592,345011,0
17031301803,+41.8395497,-087.7278708,351050,0
17031310200,+41.8563100,-087.6442091,320573,0
17031310300,+41.8561439,-087.6489782,318572,0
17031310400,+41.8565069,-087.6522613,124462,0
17031310500,+41.8552480,-087.6547400,161938,0
17031310600,+41.8563330,-087.6595637,543291,0
17031310700,+41.8559903,-087.6649061,160036,0
17031310800,+41.8559337,-087.6685737,332782,0
17031310900,+41.8557716,-087.6746741,484908,0
17031320101,+41.8850259,-087.6170590,465726,25911
17031320102,+41.8851249,-087.6241944,453642,24921
17031320400,+41.8758170,-087.6172556,804124,649677
17031320600,+41.8705542,-087.6165962,609069,549336
17031330101,+41.8591203,-087.6132250,1882941,828956
17031330102,+41.8635721,-087.6239883,402828,0
17031330103,+41.8564796,-087.6234172,509666,0
17031330200,+41.8655783,-087.6305680,756020,35440
17031340300,+41.8428046,-087.6357882,213596,0
17031340400,+41.8418857,-087.6320356,290316,0
17031340500,+41.8345181,-087.6329169,435447,0
17031340600,+41.8272864,-087.6326516,496574,0
17031350100,+41.8402590,-087.6079492,567876,518735
17031350400,+41.8419291,-087.6283695,201454,0
17031351000,+41.8355675,-087.6065282,821383,665632
17031351100,+41.8277540,-087.6141894,347265,0
17031351400,+41.8274019,-087.6240909,323957,0
17031351500,+41.8272402,-087.6277309,166221,0
17031360200,+41.8268855,-087.6098876,232044,0
17031380100,+41.8202019,-087.6100974,438048,0
17031380200,+41.8205740,-087.6149861,215130,0
17031380600,+41.8201510,-087.6229356,838894,0
17031381200,+41.8085114,-087.6139992,258553,0
17031381400,+41.8076202,-087.6214298,316691,0
17031381500,+41.8101927,-087.6228619,108677,0
17031381700,+41.8055502,-087.6274463,196802,0
17031381800,+41.8038481,-087.6211978,319368,0
17031381900,+41.8039557,-087.6138885,172690,0
17031390100,+41.8135545,-087.5905449,482752,360058
17031390200,+41.8130410,-087.5994765,303791,0
17031390300,+41.8132006,-087.6042089,327051,0
17031390400,+41.8059243,-087.6040582,326306,0
17031390500,+41.8059781,-087.5991987,326519,0
17031390600,+41.8060181,-087.5943504,324629,0
17031390700,+41.8040164,-087.5804887,608424,820061
17031400300,+41.7897540,-087.6112728,1385551,79000
17031400400,+41.7911261,-087.6183211,326944,0
17031400500,+41.7910414,-087.6231791,326149,0
17031400800,+41.7828633,-087.6205580,493317,0
17031410100,+41.8015822,-087.5810259,220901,265305
17031410200,+41.8016709,-087.5942651,64827,0
17031410500,+41.7978308,-087.6037423,263011,0
17031410600,+41.7979687,-087.5989422,252245,0
17031410700,+41.7980493,-087.5941996,259923,0
17031410800,+41.7979614,-087.5896248,249520,0
17031410900,+41.7967097,-087.5780937,387624,578244
17031411000,+41.7872267,-087.5774620,745892,1150922
17031411100,+41.7904552,-087.5897008,283324,0
17031411200,+41.7905618,-087.5940171,402990,0
17031420100,+41.7825689,-087.5795042,761045,623125
17031420200,+41.7834680,-087.5935208,277261,0
17031420300,+41.7832241,-087.5986970,245119,0
17031420400,+41.7831699,-087.6035584,245128,0
17031420500,+41.7831002,-087.6084261,245980,0
17031420600,+41.7830135,-087.6132777,243609,0
17031420700,+41.7766914,-087.6106933,650530,0
17031420800,+41.7769097,-087.6032569,347603,0
17031421200,+41.7706621,-087.6089474,325749,0
17031430101,+41.7698532,-087.5739530,327083,0
17031430102,+41.7689528,-087.5638143,454086,542570
17031430200,+41.7697613,-087.5813509,661348,0
17031430300,+41.7697163,-087.5893601,406133,0
17031430400,+41.7621961,-087.5903098,547730,0
17031430500,+41.7643139,-087.5812700,342833,0
17031430600,+41.7644133,-087.5713730,333359,0
17031430700,+41.7652716,-087.5608903,189450,178320
17031430800,+41.7607500,-087.5712983,328071,0
17031430900,+41.7606410,-087.5811851,336518,0
17031431200,+41.7553011,-087.5711843,655295,0
17031431301,+41.7535302,-087.5601871,404025,0
17031431302,+41.7583855,-087.5627859,437419,0
17031431400,+41.7572084,-087.5465550,1084987,1126154
17031440101,+41.7486271,-087.6014512,377008,0
17031440102,+41.7409356,-087.6011636,627506,0
17031440201,+41.7482097,-087.6100739,531454,0
17031440202,+41.7409599,-087.6097620,781698,0
17031440300,+41.7437212,-087.6195424,1295106,0
17031440600,+41.7326718,-087.6191373,666619,0
17031440700,+41.7347514,-087.6096294,327461,0
17031440800,+41.7317114,-087.6033280,279123,0
17031440900,+41.7286690,-087.6090057,742630,0
17031450300,+41.7419438,-087.5790892,1366771,0
